编号,名称,级别,职业,历史职业背景,主要州郡,HP,护甲,行动序列（主）,相变触发,地形联动,速度,action_params
E001,黄巾力士,普通,步兵,黄巾起义精锐步兵，狂热蓄力突击,冀州/颍川,27,0,A04→A01→A01,—,—,8,
E002,黄巾道士,普通,谋士,太平道信徒，手持符咒施毒蛊,冀州/青州,23,0,A05→A05→A16,—,森林:灼烧+1层,7,"A05:status_layers=3;A05:status_layers=3;A16:burn=4"
E003,郡卒弓兵,普通,弓兵,地方郡兵中的弓箭手，装备简陋,各州通用,25,2,A02→A02→A03,—,雾天:伤害-2,9,
E004,山贼头目,普通,步兵,绿林山贼小头目，偷袭为主,荆州/益州山地,30,0,A13→A13→A09,—,森林:攻击+2,10,
E005,流亡坞壁兵,普通,步兵,战乱流民，体力不支但拼死一搏,兖州/豫州,23,0,A01→A11→A01,—,—,6,
E006,里魁,普通,步兵,地方自卫武装小领头，防守意识强,各州通用,33,4,A03→A03→A01,—,关隘:护甲+3,7,
E007,羌族斥候,普通,骑兵,凉州羌人轻骑侦察兵，机动灵活,凉州/并州,25,0,A18→A07→A02,—,平原:速度+2|山地:速度-2,12,
E008,屯田兵,普通,步兵,曹魏屯田制普通军事农民，鼓舞友军,冀州/兖州,29,3,A10→A01→A01,—,—,6,
E009,水贼,普通,步兵,江面水匪小头目，偷袭+近战,扬州/荆州水域,27,0,A13→A09→A13,—,水域:攻击+2,8,
E010,淮盐武贩,普通,步兵,武装商人，偷财为主,徐州/扬州,25,0,A13→A07→A13,—,—,9,
E011,市井游侠,普通,步兵,无业游荡江湖人，速攻灵活,各州通用,28,0,A18→A01→A01,—,—,11,
E012,乌桓步卒,普通,步兵,幽州胡族雇佣兵，狂暴蛮力,幽州/并州,35,0,A04→A17→A01,—,雪地:无影响,7,
E013,关隘戍卒,普通,盾兵,驻守关隘重装步兵，被动防守,关隘地形,37,8,A03→A15→A03,—,关隘:护甲+5,5,"A03:armor=12"
E014,哨骑游弋兵,普通,骑兵,普通骑马侦察兵，速度优先,平原地形,25,0,A18→A02→A02,—,平原:速度+3|山地:攻击-2,13,
E015,强弩手,普通,弓兵,军中弩兵班长，压制+致盲,各州通用,27,2,A02→A12→A02,—,雾天:伤害-3,8,
E016,冀州大戟士,普通,步兵,身着铁甲重装步兵，防御为先,冀州/司州,33,6,A03→A17→A03,—,关隘:护甲+3,5,
E017,辎重兵,普通,谋士,后勤补给兵，援助友军为主,各州通用,20,0,A11→A24→A11,—,—,5,
E018,山越猎手,普通,弓兵,江东山越族猎人，毒箭为主,扬州/交州山地,25,0,A05→A02→A05,—,森林:毒层+1,10,
E019,铸剑工匠,普通,步兵,被迫卷入战乱的工匠，出招犀利,司州/豫州,23,2,A17→A17→A03,—,—,7,
E020,天师护法,普通,步兵,道观武僧护法，铁棍防护兼备,益州/荆州,31,3,A15→A01→A03,—,—,7,
E021,郡都尉,精英,步兵,地方军事长官，统领百人，攻守并重,各州郡城,48,8,A03→B01→B14→B01,—,—,8,
E022,军议掾,精英,谋士,军中参谋，毒+虚弱+诅咒三件套,冀州/兖州,39,5,B05→B13→B12→B05,—,—,7,
E023,骑曲长,精英,骑兵,骑兵曲指挥官，高速冲锋+蓄力,凉州/并州平原,44,6,B14→B01→A04→B01,—,平原:攻击+3|山地:攻击-3,13,
E024,折冲都尉,精英,步兵,克制骑兵的步兵精锐，破甲硬墙,山地地形,52,10,B04→A03→B01→A03,—,山地:护甲+3,7,
E025,黄巾渠帅,精英,步兵,黄巾高层渠帅，狂热蓄力+召唤援兵,冀州/青州/豫州,54,5,A01→A00→B16→B01,—,—,8,"A01:damage=6;A00;B16:summon_count=1&summon_enemy_id=E001;B01:damage=10"
E026,山越头目,精英,步兵,江东山越部族头领，多层毒攻,扬州山越,47,4,B05→B17→B05→A05,—,森林:毒层+1,9,
E027,锦帆贼,精英,骑兵,甘宁早年水贼精锐，偷取+极速突刺,扬州/荆州水域,49,5,B18→A13→B18→B15,—,水域:攻击+2,11,
E028,西凉铁骑卒,精英,步兵,董卓西凉精锐，破甲冲锋,凉州/司州,57,8,B01→A17→B14→B01,—,平原:攻击+2,9,
E029,阴谋幕僚,精英,谋士,贾诩式阴谋家门徒，诅咒+虚弱,各州通用,41,3,B12→B13→B12→A14,—,—,8,
E030,白马义从骑,精英,骑兵,公孙瓒白马义从副手，高速法术远程,幽州平原,47,6,B02→A04→B14→B02,—,平原:速度+2,14,
E031,黑衣游缇,精英,步兵,高级刺客，破甲+极速突刺+偷卡,各州通用,39,0,B04→B18→B15→B04,—,—,14,
E032,水镜门生,精英,谋士,水镜先生门下弟子，虚弱+诅咒专家,荆州,41,4,B13→B12→B05→B13,—,—,7,
E033,虎豹骑什长,精英,骑兵,曹魏精锐骑兵小队长，暴力冲锋,冀州/兖州平原,52,8,B01→B14→B01→A09,—,平原:攻击+3,13,
E034,陷阵营士,精英,步兵,高顺陷阵营精锐，破甲+硬墙突破,司州/兖州,54,10,B04→B01→B18→A03,—,—,8,
E035,无当飞军卒,精英,步兵,蜀国无当飞军老兵，山地专精,益州山地,49,7,A03→B01→B17→A03,—,山地:攻击+3|护甲+2,9,
E036,丹阳青巾兵,精英,步兵,江东最精锐步兵，三连斩+蓄力,扬州,54,8,B11→B14→B01→A03,—,—,8,
E037,病秧军师,精英,谋士,体弱却智计过人，混乱+诅咒+毒,荆州/益州,35,2,B08→B12→B05→B13,—,—,6,
E038,床弩操手,精英,弓兵,操控大型弩机专业工匠兵，远程三连,关隘/城池,44,6,B11→B02→A03→B02,—,关隘:攻击+3,6,
E039,羌族头目,精英,骑兵,凉州羌族部落头人，蓄力+召唤+冲锋,凉州/并州,52,5,A04→B16→B14→B01,—,平原:攻击+2,10,
E040,黄巾妖道,精英,谋士,散播疾病的危险人物，瘟疫+毒双投,荆州/扬州,39,0,B10→B10→A05→B17,—,水域:瘟疫+1层,7,
E041,关隘守将,强力,盾兵,驻守重要关隘中阶将领，相变后转入猛攻,关隘地形,118,20,C10→B03→B01→B03→C01,HP<40%:C01→B04→C01→C16→B14,关隘:护甲+8,7,"C01:damage=40"
E042,军师祭酒,强力,谋士,高级军事参谋，相变后全面污染卡组,各州大城,83,10,B08→B12→C14→B13,HP<45%:C11→C11→B08→C14,—,8,
E043,门阀遗孤,强力,步兵,袁氏名门之后，相变后孤注一掷召唤精锐,冀州,102,15,B03→C09→B14→B03→C07,HP<35%:C07→C09→C01→C01,—,8,
E044,复仇骁将,强力,步兵,父兄被败，复仇为念，相变后绝地爆发,各州通用,107,12,B01→B14→B01→C01,HP<30%:C12→C01→C16→C12,—,10,
E045,虓虎猛将,强力,步兵,有勇无谋猛将，相变后狂暴全开,冀州/凉州,130,8,A04→B14→B01→C01,HP<40%:C12→C01→C01→C16→B14,平原:攻击+3,11,
E046,奇谋大夫,强力,谋士,顶级谋士，相变后极端天气压制,各州通用,88,8,C05→B12→B08→C05,HP<35%:C06→C11→C14→B08,—,7,
E047,征虏将军,强力,步兵,高阶军职将领，相变后夺牌+爆伤,司州/冀州,107,15,B01→C15→B14→B01→C01,HP<40%:C15→C01→C16→C15,—,9,
E048,绿林豪杰,强力,步兵,绿林大头目，相变后劫财+召唤亡命,荆州/益州山地,95,10,C04→B01→B16→C04,HP<35%:C04→C07→C01→C16,森林:攻击+2,9,
E049,水军都督,强力,弓兵,江东水军最高指挥官，相变后天气+群攻,扬州/荆州水域,125,14,B02→C05→C10→B02→C01,HP<40%:C06→C01→C02→C10,水域:攻击+4|护甲+3,8,
E050,草原单于,强力,骑兵,草原大首领，相变后极端天气+全军狂暴,幽州/并州,111,10,A04→C06→B01→C09,HP<35%:C06→C09→C01→C07→C12,平原:速度+3|攻击+3,12,
E051,阴鸷毒士,强力,谋士,最高阶阴谋家，相变后全面诅咒+清BUFF,各州通用,79,6,C11→B12→B08→C14,HP<40%:C11→C14→C11→B08→C14,—,8,
E052,万人敌斗将,强力,步兵,追求单挑武痴，相变后破甲双倍爆发,各州通用,142,12,B04→C01→B14→C01,HP<30%:C12→C16→C01→B04→C12,—,12,
E053,酒鬼,强力,步兵,被毒药控制的高阶武将，相变后失控狂乱,各州通用,107,15,C01→B14→C17→B01,HP<35%:C01→C01→C16→C18→B14,—,10,
E054,铁壁守将,强力,盾兵,防御极值武将，相变后护甲转化为攻势,关隘/城池,102,25,B03→C13→C10→B03→C10,HP<30%:C13→C01→C16→B04→C01,关隘:护甲+10,5,
E055,穷途枭雄,强力,步兵,历史失败者最后一战，相变即刻死亡爆发,各州通用,153,5,B14→C01→B14→C16,HP<25%:C18→C12→C01→C16→C01,—,11,
E056,巴蜀猎人,普通,弓兵,益州山地猎户，擅用陷阱箭矢,益州山地,24,0,A05→A02→A05,—,山地:伤害+2,10,
E057,交趾游侠,普通,步兵,交州本地武装，热带丛林近战,交州,26,0,A07→A01→A07,—,森林:攻击+3,9,
E058,并州骑射手,普通,骑兵,并州边境骑兵，射箭+疾驰,并州,27,0,A02→A02→A18,—,平原:速度+2|雪地:伤害-1,11,
E059,徐州丹阳卒,普通,步兵,徐州地方军队，中规中矩,徐州,29,3,A03→A01→A03,—,—,6,
E060,西域哨骑,普通,骑兵,凉州沙漠边境哨兵，耐热善奔,凉州/幽州北,25,0,A18→A18→A02,—,沙漠:速度+3|攻击+1,13,
E061,雪地斥候,普通,骑兵,幽州极北的冬季斥候,幽州/并州,27,2,A18→A07→A18,—,雪地:伤害-1|速度+1,12,
E062,刀盾步卒,普通,盾兵,手持大盾长矛的普通守卫兵,各州通用,35,6,A15→A03→A15,—,关隘:护甲+4,5,
E063,渔户,普通,步兵,扬州/交州渔村的粗犷渔民武装,扬州/交州,25,0,A09→A01→A09,—,水域:攻击+2,8,
E064,太平道咒兵,普通,谋士,黄巾军施法小兵，狂热蓄力+恐惧,青州/豫州,21,0,A04→A06→A04,—,—,7,
E065,边塞甲盾卒,普通,盾兵,幽州边境重盾守卫，专司防御,幽州/并州,40,8,A03→A03→A15,—,雪地:护甲+2,4,
E066,山道弩兵,普通,弓兵,益州山道弓兵，远程封锁山路,益州/并州山地,26,2,A02→A03→A02,—,山地:伤害+2|雾天:伤害-2,9,
E067,流寇,普通,步兵,趁乱劫掠的流寇，重创后逃窜,兖州/豫州,22,0,A17→A01→A17,—,—,10,
E068,瘴林猎手,普通,弓兵,荆州/交州热带猎手，毒箭+瘴气,荆州/交州森林,24,0,A05→A16→A05,—,森林:灼烧+1层|毒层+1,9,
E069,坞堡弩卒,普通,弓兵,坚守屯堡的弩兵，持续压制,冀州/司州,28,3,A02→A02→A12,—,关隘:伤害+2,8,
E070,凉州马贼,普通,骑兵,凉州流散马贼，快打快走,凉州,23,0,A13→A18→A13,—,沙漠:速度+2,12,
E071,虎豹骑都伯,精英,骑兵,曹魏铁骑编队长，高速+群体怒气,冀州/兖州平原,49,7,B14→B01→B14→A09,—,平原:攻击+4,14,
E072,山越巫毒师,精英,谋士,江东山越族毒法师，双毒+诅咒,扬州/交州,36,3,B05→B12→B10→B05,—,森林:毒层+2,7,
E073,蜀汉重刀将,精英,步兵,蜀汉重型步兵队长，破甲+重伤,益州,57,9,B04→B17→B01→B04,—,山地:伤害+2,8,
E074,铁盾都尉,精英,盾兵,精锐盾兵校尉，铁盾反制+坚守,各州关隘,61,15,B03→B09→B03→B22,—,关隘:护甲+6,5,
E075,湟中铁骑,精英,骑兵,凉州沙漠骑兵，高速冲锋+耐热,凉州,47,5,B21→B01→B14→B01,—,沙漠:速度+3|攻击+3,15,
E076,乌桓突骑,精英,骑兵,幽州极北草原骑兵，冰雪地形无畏,幽州/并州,49,6,B01→A04→B14→B01,—,雪地:攻击+2|速度+1,13,
E077,蜀汉典农都尉,精英,谋士,诸葛体系督粮官，补血+增援后方,益州/荆州,41,5,A24→B16→A24→B24,—,—,6,
E078,解烦卫盾兵,精英,盾兵,孙氏亲卫盾兵，水战+铁盾固守,扬州水域,54,12,B03→B22→B01→B03,—,水域:护甲+4,6,
E079,并州重甲兵,精英,步兵,并州边境重甲步兵，寒地战士,并州,54,10,B01→A03→B17→B01,—,雪地:护甲+3,7,
E080,藤甲卒,精英,步兵,交州藤甲部队，防火弱但近战强,交州,52,8,B17→B01→A03→B17,—,森林:攻击+2|灼烧伤害受×1.5,9,
E081,丹阳弩兵,精英,弓兵,徐州守城精锐弩兵，三连+致盲,徐州/扬州,44,6,B25→B02→B11→B02,—,关隘:攻击+3,8,
E082,西凉铁甲盾卒,精英,盾兵,董卓麾下铁盾重兵，破甲免疫盾反,凉州/司州,58,12,B09→B04→B03→B01,—,平原:护甲+3,6,
E083,青州兵,精英,步兵,青州黄巾残部将领，蓄力+召唤余党,青州/兖州,54,4,A04→A04→B16→B14,—,—,8,
E084,无当弩营将,精英,弓兵,诸葛麾下连弩营将，持续远程+坚守,益州,47,7,B02→B09→B02→B11,—,山地:攻击+3,7,
E085,府卫家兵,精英,步兵,权贵私兵，刺杀+极速,各州大城,41,3,B18→B04→B15→B18,—,—,15,
E086,江东水军司马,精英,弓兵,东吴水师中层将领，水战+远程,扬州/荆州水域,49,7,B02→B07→B02→A03,—,水域:攻击+3|雨天:灼烧×0,8,
E087,公孙重骑,精英,骑兵,幽州北疆精锐重骑，强冲击+震慑,幽州/并州平原,54,8,B01→B06→B14→B01,—,平原:攻击+4|雪地:速度-1,12,
E088,汝南死士,精英,步兵,各势力豢养的亡命死士，不惧重伤,豫州/司州,48,0,B17→B18→B04→B17,—,—,13,
E089,水贼头目,精英,步兵,荆州水贼帮主，偷财+多次突击,荆州水域,52,4,B15→B18→A13→B01,—,水域:攻击+2,10,
E090,瘟疫方士,精英,谋士,散播瘟疫的邪道术士，瘟疫+混乱,荆州/益州,39,2,B10→B08→B12→B10,—,森林:瘟疫+1层,6,
E091,白眊将,强力,步兵,蜀汉猛将，山地无畏，相变后连续猛击,益州山地,135,10,A04→B14→C01→B01→C01,HP<40%:C16→C01→C12→C16,山地:攻击+4|护甲+3,10,
E092,都督亲卫,强力,弓兵,统帅水师的东吴大督，相变后火攻风暴,扬州/荆州水域,118,12,C05→B02→C10→B07→C01,HP<40%:C06→B07→C02→C09,水域:攻击+5|护甲+4,8,
E093,幽州突骑帅,强力,骑兵,幽州最强骑兵统帅，相变后全军冲锋,幽州/并州平原,125,10,B14→C01→B01→C09→C01,HP<35%:C09→C01→C12→C07→C01,平原:攻击+5|速度+3,14,
E094,九宫阵法师,强力,谋士,精通布阵的军师，相变后复杂诅咒组合,各州通用,95,8,C10→B08→B12→C10→B13,HP<40%:C11→C08→C14→C11,—,7,
E095,西凉铁骑督,强力,骑兵,凉州最强骑兵督，沙漠天气+狂攻,凉州,118,8,C05→B14→C01→B01→C09,HP<35%:C06→C01→C12→C01→B14,沙漠:攻击+5|速度+4,14,
E096,塞北狼骑,强力,步兵,幽州极北部落首领，雪地天气+全军狂暴,幽州,130,6,C06→A04→B01→C09→C01,HP<30%:C06→C09→C12→C16→C01,雪地:攻击+3|护甲+3,11,
E097,军师将军,强力,谋士,蜀汉体系高级军师，阵法+诅咒组合压制,益州,88,10,B08→C11→B13→C10→C14,HP<45%:C11→C06→C14→B08→C11,山地:护甲+3,7,
E098,巫蛊师,强力,谋士,交州神秘蛊师，瘟疫+分身扰乱,交州/荆州,79,5,B10→C08→B12→B10→C14,HP<40%:C11→C08→B10→C14→C11,森林:瘟疫+2层|毒层+2,7,
E099,铁壁盾将,强力,盾兵,盾兵极致将领，护甲碾压后转爆发,关隘/城池,118,28,B03→C13→C23→B03→C10,HP<30%:C01→C16→B04→C01→C13,关隘:护甲+12,4,
E100,羽林骑中郎将,强力,步兵,绝世猛将，万军中取上将首级,各州通用,177,8,B14→C01→C16→B04→C01,HP<35%:C12→C01→C16→C12→C01,—,13,
