序号,武将,阵营,战役,所属州,地形,默认天气,发生时间,历史背景,史实战役,对阵主将,其他对阵将领,第一幕BOSS,第二幕BOSS
1,曹操,魏,陈留起兵,兖州,平原,晴,189年,曹操在陈留散家财聚兵，讨伐董卓之始,讨董联军,董卓,牛辅/徐荣/李儒/华雄/吕布,牛辅/徐荣/李儒,华雄/吕布
2,曹操,魏,兖州驱吕,兖州,平原,晴,194年,曹操从吕布手中夺回兖州，濮阳大战,濮阳之战,吕布,宋宪/魏续/高顺/张辽/陈宫,宋宪/魏续/高顺,张辽/陈宫
3,曹操,魏,官渡争锋,司州,平原,风,200年,曹操以弱胜强，火烧乌巢，击败袁绍,官渡之战,袁绍,许攸/审配/沮授/文丑/颜良,许攸/审配/沮授,文丑/颜良
4,曹操,魏,北征乌桓,幽州,雪地,晴,207年,曹操远征乌桓，斩蹋顿，统一北方,白狼山之战,蹋顿,苏仆延/难楼/乌延/楼班/袁尚,苏仆延/难楼/乌延,楼班/袁尚
5,曹操,魏,赤壁转折,荆州,水域,风,208年,赤壁之战，曹操南征折戟，转守为攻,赤壁之战,周瑜,程普/黄盖/甘宁/刘备/诸葛亮,程普/黄盖/甘宁,刘备/诸葛亮
6,曹操,魏,渭南之战,司州,关隘,晴,211年,曹操击败马超、韩遂，平定关中地区,渭南之战,马超,韩遂/庞德/马岱/成宜/程银,韩遂/庞德/马岱,成宜/程银
7,夏侯惇,魏,濮阳鏖战,兖州,平原,晴,194年,吕布攻兖州，夏侯惇于濮阳死守,濮阳之战,吕布,宋宪/魏续/高顺/张辽/陈宫,宋宪/魏续/高顺,张辽/陈宫
8,夏侯惇,魏,小沛之战,徐州,平原,晴,198年,吕布遣高顺、张辽攻刘备于小沛，曹操命夏侯惇驰援,小沛之战,吕布,侯成/宋宪/高顺/张辽/陈宫,侯成/宋宪/高顺,张辽/陈宫
9,夏侯惇,魏,下邳困关羽,徐州,平原,晴,199年,曹操攻徐州，关羽守下邳，夏侯惇为先锋诱敌出城,徐州之战,关羽,孙乾/简雍/糜竺/张飞/刘备,孙乾/简雍/糜竺,张飞/刘备
10,夏侯惇,魏,官渡侧翼,司州,平原,风,200年,官渡之战期间夏侯惇守护左翼侧线,官渡之战·侧翼防守,袁绍,高览/沮授/张郃/文丑/颜良,高览/沮授/张郃,文丑/颜良
12,夏侯惇,魏,汉中对峙,益州,山地,雾,217年,曹刘汉中相持，夏侯惇驻守汉中前线,汉中相持,刘备,法正/黄忠/马超/赵云/张飞,法正/赵云/马超,黄忠/张飞
13,张辽,魏,并州历练,并州,山地,晴,189年,张辽早年跟随丁原、吕布，并州从军,并州边境战事,丁原,呼厨泉/于夫罗/须卜骨都侯/张杨/南匈奴单于,呼厨泉/于夫罗/须卜骨都侯,张杨/南匈奴单于
14,张辽,魏,濮阳之战,兖州,平原,晴,194年,张辽原属吕布麾下，与曹操军于濮阳激战,濮阳之战,曹操,李典/乐进/程昱/荀彧/夏侯惇,李典/乐进/程昱,荀彧/夏侯惇
15,张辽,魏,北征乌桓,幽州,雪地,晴,207年,随曹操远征乌桓，白狼山一战斩蹋顿,白狼山之战,蹋顿,苏仆延/难楼/乌延/楼班/袁尚,苏仆延/难楼/乌延,楼班/袁尚
16,张辽,魏,合肥防线,扬州,水域,晴,213年,张辽镇守合肥，多次抵御孙权进攻,合肥之战,孙权,蒋钦/陈武/凌统/甘宁/吕蒙,蒋钦/陈武/凌统,甘宁/吕蒙
17,张辽,魏,逍遥津扬名,扬州,水域,雾,215年,张辽率800骑奇袭孙权，威震逍遥津,逍遥津之战,孙权,蒋钦/陈武/凌统/甘宁/吕蒙,蒋钦/陈武/凌统,甘宁/吕蒙
18,张辽,魏,广陵追击,扬州,水域,晴,222年,张辽追击撤退的孙权军，大破吴军于广陵,广陵追击战,孙权,贺齐/丁奉/潘璋/徐盛/诸葛瑾,贺齐/丁奉/潘璋,徐盛/诸葛瑾
20,司马懿,魏,街亭截击,凉州,山地,晴,228年,马谡失街亭，司马懿乘势截断蜀军退路,街亭之战,马谡,陈式/高详/吴班/王平/魏延,陈式/高详/吴班,王平/魏延
21,司马懿,魏,祁山争锋,凉州,山地,晴,231年,诸葛亮第四次北伐，司马懿坚壁清野,第四次北伐·祁山之战,诸葛亮,陈式/高详/吴班/王平/魏延,陈式/高详/吴班,王平/魏延
22,司马懿,魏,五丈原对峙,司州,平原,风,234年,诸葛亮最后一次北伐，司马懿坚守不出,第五次北伐·五丈原之战,诸葛亮,费祎/杨仪/王平/姜维/魏延,费祎/杨仪/王平,姜维/魏延
23,司马懿,魏,辽东征伐,幽州,雪地,晴,238年,远征公孙渊，平定辽东，大获全胜,辽东平公孙渊之战,公孙渊,王建/柳甫/杨祚/卑衍/公孙修,王建/柳甫/杨祚,卑衍/公孙修
24,司马懿,魏,高平陵变,司州,关隘,雾,249年,发动高平陵政变，掌控曹魏政权,高平陵之变,曹爽,李胜/毕轨/丁谧/邓飏/何晏,李胜/毕轨/丁谧,邓飏/何晏
25,司马懿,魏,淮南平乱,扬州,平原,雨,251年,平定王凌淮南叛乱,王凌之乱,王凌,单固/黄华/杨弘/孙礼/令狐愚,单固/黄华/杨弘,孙礼/令狐愚
26,典韦,魏,清剿黄巾,兖州,平原,晴,194年,随曹操清剿兖州黄巾残部，先登陷阵，所向披靡,清剿兖州黄巾残部,何仪,吴霸/黄邵/何曼/龚都/刘辟,吴霸/黄邵/何曼,龚都/刘辟
27,典韦,魏,定陶破吕,兖州,平原,晴,195年,曹操与吕布决战定陶，典韦冲阵先锋立功,定陶之战,吕布,魏续/侯成/高顺/张辽/陈宫,魏续/侯成/高顺,张辽/陈宫
29,典韦,魏,宛城死战,荆州,森林,晴,197年,宛城张绣叛变，典韦死守辕门护主,宛城之战,张绣,雷叙/张先/邹氏/胡车儿/贾诩,雷叙/张先/邹氏,胡车儿/贾诩
30,贾诩,魏,西凉诛叛,凉州,沙漠,风,189年,贾诩助西凉旧部平定内乱，权谋初显,西凉内部平叛,北宫伯玉,李文侯/王国/边章/马腾/韩遂,李文侯/王国/边章,马腾/韩遂
31,贾诩,魏,长安权谋,司州,关隘,晴,192年,贾诩献策李傕、郭汜，乱长安局势,长安之乱·李傕郭汜,王允,宋宪/侯成/魏续/皇甫嵩/吕布,宋宪/侯成/魏续,皇甫嵩/吕布
32,贾诩,魏,平叛关中,司州,关隘,风,195年,贾诩献策镇压关中诸侯叛乱,关中诸侯争战,李傕,段煨/樊稠/张济/杨奉/郭汜,段煨/樊稠/张济,杨奉/郭汜
33,贾诩,魏,宛城之战,荆州,森林,晴,197年,贾诩为张绣谋划，夜袭曹操,宛城之战,曹操,曹安民/曹昂/于禁/夏侯惇/典韦,曹安民/曹昂/于禁,夏侯惇/典韦
34,贾诩,魏,官渡奇谋,司州,平原,晴,200年,贾诩在官渡献奇谋，助曹操火烧乌巢,官渡之战,袁绍,许攸/审配/沮授/高览/张郃,许攸/审配/沮授,高览/张郃
35,贾诩,魏,渭水诈败,司州,关隘,晴,211年,贾诩献离间计，曹操于渭水诈败破马超,渭水之战,马超,程银/侯选/马玩/成宜/韩遂,程银/侯选/马玩,成宜/韩遂
36,刘备,蜀,涿郡起义,幽州,平原,晴,184年,刘备桃园结义，参与讨伐黄巾,幽州讨黄巾,张角,程远志/彭脱/波才/张梁/张宝,程远志/彭脱/波才,张梁/张宝
37,刘备,蜀,徐州漂泊,徐州,平原,雨,194年,刘备辗转徐州，被吕布、曹操所迫,徐州争夺战,吕布,纪灵/高顺/陈宫/袁术/曹操,纪灵/高顺/陈宫,袁术/曹操
38,刘备,蜀,博望坡伏,荆州,森林,晴,202年,刘备受刘表之命北伐，于博望坡设伏击败夏侯惇,博望坡之战,夏侯惇,夏侯兰/韩浩/满宠/李典/于禁,夏侯兰/韩浩/满宠,李典/于禁
39,刘备,蜀,入蜀定基,益州,山地,雾,214年,刘备攻取益州，建立蜀汉政权基础,成都之战,刘璋,冷苞/邓贤/吴懿/刘璝/张任,冷苞/邓贤/吴懿,刘璝/张任
40,刘备,蜀,汉中争衡,益州,山地,晴,219年,刘备夺取汉中，进位汉中王,汉中之战,曹操,曹休/曹真/徐晃/张郃/夏侯渊,曹休/曹真/徐晃,张郃/夏侯渊
41,刘备,蜀,夷陵终局,荆州,森林,风,222年,刘备伐吴为关羽报仇，陆逊火烧连营,夷陵之战,陆逊,丁奉/朱然/潘璋/徐盛/韩当,丁奉/朱然/潘璋,徐盛/韩当
42,关羽,蜀,涿郡起义,幽州,平原,晴,184年,随刘备桃园结义，参与讨伐黄巾,幽州讨黄巾,张角,程远志/彭脱/波才/张梁/张宝,程远志/彭脱/波才,张梁/张宝
43,关羽,蜀,温酒斩华雄,司州,关隘,晴,190年,关羽温酒斩华雄，虎牢关前扬名,虎牢关之战,吕布,赵岑/吕常/胡轸/李肃/华雄,赵岑/吕常/胡轸,李肃/华雄
44,关羽,蜀,白马斩颜,冀州,平原,晴,200年,关羽阵斩颜良于白马，一战扬名河北,白马之战,颜良,郭图/淳于琼/沮授/文丑/袁绍,郭图/淳于琼/沮授,文丑/袁绍
45,关羽,蜀,千里走单骑,司州,平原,晴,200年,关羽护送二嫂穿越曹军五关六将,过五关,孔秀,韩福/卞喜/王植/秦琪/蔡阳,韩福/卞喜/王植,秦琪/蔡阳
46,关羽,蜀,威震华夏,荆州,水域,晴,219年,关羽北伐攻樊城，威震华夏进入高峰,樊城之战,曹仁,吕常/满宠/于禁/庞德/徐晃,吕常/满宠/于禁,庞德/徐晃
47,关羽,蜀,麦城绝境,荆州,森林,雾,219年,吕蒙白衣渡江，关羽败走麦城,麦城之围,吕蒙,诸葛瑾/朱然/潘璋/徐盛/陆逊,诸葛瑾/朱然/潘璋,徐盛/陆逊
48,张飞,蜀,桃园从征,幽州,平原,晴,184年,张飞桃园结义，随刘备起兵,幽州讨黄巾,张角,程远志/彭脱/波才/张梁/张宝,程远志/彭脱/波才,张梁/张宝
48,张飞,蜀,虎牢关之战,司州,关隘,晴,190年,张飞随联军击退吕布，迫使董卓迁都,虎牢关之战,吕布,赵岑/吕常/胡轸/李肃/华雄,赵岑/吕常/胡轸,李肃/华雄
49,张飞,蜀,长坂断后,荆州,平原,风,208年,张飞喝退曹军于长坂桥，护主撤退,长坂坡之战,曹纯,夏侯恩/张郃/许褚/张辽/曹操,夏侯恩/张郃/许褚,张辽/曹操
50,张飞,蜀,江州之战,益州,山地,晴,214年,张飞破江州，义释严颜，平定巴郡,江州之战,严颜,冷苞/邓贤/吴懿/刘璝/张任,冷苞/邓贤/吴懿,刘璝/张任
50,张飞,蜀,镇守巴西,益州,山地,晴,215年,张飞镇守巴西，抵御张郃进攻，在瓦口关大败张郃,瓦口关之战,张郃,蒙头/荡石/郭淮/曹洪/夏侯渊,蒙头/荡石/郭淮,曹洪/夏侯渊
53,诸葛亮,蜀,火烧博望坡,荆州,森林,晴,208年,诸葛亮首战博望坡，火烧夏侯惇军,博望坡之战,夏侯惇,夏侯兰/韩浩/李典/于禁/满宠,夏侯兰/韩浩/李典,于禁/满宠
54,诸葛亮,蜀,赤壁联吴,荆州,水域,风,208年,诸葛亮舌战群儒，促成孙刘联盟,赤壁之战,曹操,程昱/荀攸/徐晃/张辽/曹仁,程昱/荀攸/徐晃,张辽/曹仁
55,诸葛亮,蜀,南中平定,益州,森林,雨,225年,诸葛亮七擒孟获，平定南蛮,南中平定战,孟获,朵思大王/木鹿大王/雍闿/高定/祝融,朵思大王/木鹿大王/雍闿,高定/祝融
56,诸葛亮,蜀,北伐陇右,凉州,沙漠,晴,228年,诸葛亮第一次北伐，攻取陇右三郡,第一次北伐,张郃,费曜/王双/郭淮/曹休/曹真,费曜/王双/郭淮,曹休/曹真
57,诸葛亮,蜀,祁山争锋,凉州,山地,晴,231年,诸葛亮多次出祁山，与司马懿正面对阵,第四次北伐·祁山之战,司马懿,贾嗣/戴陵/费曜/郭淮/张郃,贾嗣/戴陵/费曜,郭淮/张郃
58,诸葛亮,蜀,五丈原终章,司州,平原,风,234年,诸葛亮最后一次北伐，病逝五丈原,第五次北伐·五丈原之战,司马懿,乐綝/张虎/夏侯霸/郭淮/司马师,乐綝/张虎/夏侯霸,郭淮/司马师
59,赵云,蜀,界桥初阵,冀州,平原,晴,191年,赵云早年参与界桥之战，初次展露锋芒,界桥之战,文丑,严纲/田楷/麴义/颜良/袁绍,严纲/田楷/麴义,颜良/袁绍
60,赵云,蜀,长坂救主,荆州,平原,风,208年,赵云单骑救阿斗，七进七出曹军,长坂坡之战,曹纯,夏侯恩/张郃/许褚/张辽/曹操,夏侯恩/张郃/许褚,张辽/曹操
61,赵云,蜀,入川之战,益州,山地,雾,213–214年,赵云随刘备攻克益州，平定郡县，合围成都,入川之战,刘璋,冷苞/邓贤/吴懿/刘璝/张任,冷苞/邓贤/吴懿,刘璝/张任
61,赵云,蜀,汉水奇袭,益州,山地,雾,219年,"赵云汉水奇袭曹军，刘备赞""子龙一身是胆""",汉水之战,曹操,王平/曹洪/夏侯渊/徐晃/张郃,王平/曹洪/夏侯渊,徐晃/张郃
62,赵云,蜀,箕谷疑兵,凉州,沙漠,晴,228年,赵云箕谷断后，整兵而退不失一人,第一次北伐,曹真,费曜/王双/郭淮/曹休/张郃,费曜/王双/郭淮,曹休/张郃
63,赵云,蜀,凤鸣山断,益州,山地,雾,228年,赵云随诸葛亮北伐，力斩五将,北伐追击战,韩德,韩瑛/韩瑶/韩琼/韩琪/郭淮,韩瑛/韩瑶/韩琼,韩琪/郭淮
64,马超,蜀,渭桥冲阵,司州,关隘,晴,211年,马超率西凉铁骑强渡渭水，差点活捉曹操,渭水之战,曹操,钟繇/曹洪/徐晃/许褚/曹仁,钟繇/曹洪/徐晃,许褚/曹仁
65,马超,蜀,潼关激战,司州,关隘,晴,211年,马超率西凉军大战曹操于潼关,潼关之战,曹操,钟繇/曹洪/徐晃/夏侯渊/曹仁,钟繇/曹洪/徐晃,夏侯渊/曹仁
67,马超,蜀,归附蜀汉,益州,山地,晴,214年,马超归附刘备，助攻益州成都,马超归蜀,刘璋,任夔/吴兰/雷铜/刘璝/张鲁,任夔/吴兰/雷铜,刘璝/张鲁
68,马超,蜀,汉中助战,益州,山地,晴,219年,马超协助刘备汉中之战，威慑曹军,汉中之战,曹操,曹洪/曹真/徐晃/张郃/夏侯渊,曹洪/曹真/徐晃,张郃/夏侯渊
69,孙权,吴,山越平叛,扬州,山地,雨,203年,孙权继位后征讨山越，稳固江东根基,征讨山越,费栈,潘临/彭绮/山越渠帅/祖郎/严白虎,潘临/彭绮/山越渠帅,祖郎/严白虎
70,孙权,吴,东征黄祖,荆州,水域,雨,208年,孙权亲自率军东征，攻打江夏，斩杀黄祖,江夏之战,黄祖,邓龙/陈就/苏飞/张允/蔡瑁,邓龙/陈就/苏飞,张允/蔡瑁
71,孙权,吴,赤壁联防,荆州,水域,风,208年,孙权联合刘备，赤壁之战大胜曹操,赤壁之战,曹操,程昱/张允/蔡瑁/徐晃/张辽,程昱/张允/蔡瑁,徐晃/张辽
72,孙权,吴,坐镇濡须坞,扬州,水域,雨,217年,曹操大军南下，孙权亲自坐镇濡须坞,濡须口之战,曹操,臧霸/徐晃/曹仁/夏侯惇/张辽,臧霸/徐晃/曹仁,夏侯惇/张辽
73,孙权,吴,石亭之战,扬州,水域,雨,228年,授命陆逊指挥，大破曹休十万魏军,石亭之战,曹休,张普/王凌/满宠/贾逵/司马懿,张普/王凌/满宠,贾逵/司马懿
74,周瑜,吴,平定江东,扬州,水域,晴,198年,周瑜助孙策平定江东，建立吴国基业,平定江东诸郡,严白虎,笮融/王朗/刘繇/华歆/太史慈,笮融/王朗/刘繇,华歆/太史慈
75,周瑜,吴,皖城之战,扬州,水域,晴,199年,与孙策联手攻破皖城，收服庐江,皖城之战,袁术,雷薄/张勋/刘勋/王朗/纪灵,雷薄/张勋/刘勋,王朗/纪灵
76,周瑜,吴,东征江夏,荆州,水域,雨,208年,都督大破黄祖，夺取江夏,江夏之战,黄祖,邓龙/陈就/苏飞/张允/蔡瑁,邓龙/陈就/苏飞,张允/蔡瑁
77,周瑜,吴,赤壁火攻,荆州,水域,风,208年,周瑜指挥赤壁之战，火烧曹军战船,赤壁之战,曹操,程昱/张允/蔡瑁/徐晃/张辽,程昱/张允/蔡瑁,徐晃/张辽
78,周瑜,吴,南郡争夺,荆州,森林,雨,209年,周瑜攻打南郡，与曹仁激战,南郡之战,曹仁,牛金/满宠/李典/乐进/徐晃,牛金/满宠/李典,乐进/徐晃
79,周瑜,吴,荆襄对峙,荆州,水域,晴,210年,周瑜与刘备争荆州，两家博弈,荆州归属争议期,刘备,赵云/黄忠/张飞/关羽/诸葛亮,赵云/黄忠/张飞,关羽/诸葛亮
80,吕蒙,吴,南郡争夺,荆州,森林,雨,209年,跟随周瑜、程普对抗曹仁,南郡之战,曹仁,牛金/满宠/李典/乐进/徐晃,牛金/满宠/李典,乐进/徐晃
81,吕蒙,吴,皖城奇袭,扬州,水域,晴,214年,吕蒙突袭曹操皖城，生擒朱光,皖城之战,朱光,张乔/王凌/李典/夏侯渊/张辽,张乔/王凌/李典,夏侯渊/张辽
82,吕蒙,吴,荆南三郡,荆州,水域,晴,215年,吕蒙率军攻取长沙、桂阳、零陵三郡，用计劝降郝普,荆南三郡之战,郝普,赵累/周仓/廖化/刘封/关平,赵累/周仓/廖化,刘封/关平
83,吕蒙,吴,濡须对峙,扬州,水域,晴,217年,吕蒙参与濡须之战，阻挡曹操南下,濡须之战,曹操,臧霸/徐晃/曹仁/夏侯惇/张辽,臧霸/徐晃/曹仁,夏侯惇/张辽
84,吕蒙,吴,白衣奇袭,荆州,水域,雾,219年,吕蒙白衣渡江，袭取荆州三郡,白衣渡江,关羽,傅士仁/糜芳/赵累/廖化/关平,傅士仁/糜芳/赵累,廖化/关平
85,甘宁,吴,夏口突袭,荆州,水域,晴,208年,随孙权、周瑜攻黄祖，甘宁率部当先，斩杀黄祖大将陈就,夏口之战,黄祖,张硕/邓龙/陈就/苏飞/蔡瑁,张硕/邓龙/陈就,苏飞/蔡瑁
86,甘宁,吴,赤壁之战,荆州,水域,风,208年,作为东吴先锋猛将参战，跟随周瑜火烧曹军,赤壁之战,曹操,程昱/张允/蔡瑁/徐晃/张辽,程昱/张允/蔡瑁,徐晃/张辽
87,甘宁,吴,南郡争夺,荆州,森林,雨,209年,随周瑜攻打南郡，甘宁献计袭取夷陵,南郡之战,曹仁,牛金/满宠/李典/乐进/徐晃,牛金/满宠/李典,乐进/徐晃
88,甘宁,吴,皖城之战,扬州,水域,晴,214年,孙权攻皖城，甘宁任升城督，手持铁链亲自率先登城,皖城之战,朱光,张乔/王凌/李典/曹洪/张辽,张乔/王凌/李典,曹洪/张辽
89,甘宁,吴,合肥夜战,扬州,水域,雾,215年,甘宁参与合肥之战，率兵奔袭夜战,合肥之战,张辽,薛悌/李典/蒋济/乐进/徐晃,薛悌/李典/蒋济,乐进/徐晃
90,甘宁,吴,濡须奔袭,扬州,水域,雾,217年,甘宁百骑劫曹营，大显神威,濡须之战·百骑劫营,曹操,臧霸/徐晃/曹仁/夏侯惇/张辽,臧霸/徐晃/曹仁,夏侯惇/张辽
91,陆逊,吴,鄱阳讨贼,扬州,水域,晴,205年,陆逊初仕讨平鄱阳剡地山贼，首战立威,鄱阳平山越,彭虎,陈仆/潘临/彭绮/费栈/祖郎,陈仆/潘临/彭绮,费栈/祖郎
92,陆逊,吴,白衣渡江,荆州,水域,雾,219年,陆逊协助吕蒙白衣渡江，袭取荆州,白衣渡江,关羽,傅士仁/糜芳/赵累/廖化/关平,傅士仁/糜芳/赵累,廖化/关平
93,陆逊,吴,夷陵大捷,荆州,森林,风,222年,陆逊火烧刘备连营，大败蜀军,夷陵之战,刘备,张南/冯习/吴班/沙摩柯/黄权,张南/冯习/吴班,沙摩柯/黄权
95,陆逊,吴,石亭定势,扬州,水域,雨,228年,石亭之战陆逊大败曹休，确立吴国优势,石亭之战,曹休,朱灵/贾逵/满宠/王凌/张普,朱灵/贾逵/满宠,王凌/张普
96,陆逊,吴,武昌督战,扬州,水域,晴,232年,陆逊驻武昌总督荆扬军事，督战东线,东线督战,司马懿,满宠/胡质/王基/毌丘俭/王凌,满宠/胡质/王基,毌丘俭/王凌
97,吕布,群雄,并州崛起,并州,山地,晴,189年,吕布在并州跟随丁原，以武力崭露头角,并州边境战事,须卜骨都侯,呼厨泉/于夫罗/白波帅/张杨/丘力居,呼厨泉/于夫罗/白波帅,张杨/丘力居
98,吕布,群雄,虎牢关战,司州,关隘,晴,190年,吕布独战诸侯联军，三英战吕布,虎牢关之战,袁绍,公孙瓒/袁术/孙坚/曹操/刘备,公孙瓒/袁术/孙坚,曹操/刘备
99,吕布,群雄,袭取徐州,徐州,平原,雨,196年,吕布偷袭刘备的大本营下邳，成功夺取徐州,徐州争夺战,刘备,糜竺/曹豹/简雍/陈登/张飞,糜竺/曹豹/简雍,陈登/张飞
100,吕布,群雄,小沛之战,徐州,平原,雨,198年,吕布攻打驻扎在小沛的刘备,小沛之战,刘备,糜竺/孙乾/简雍/关羽/张飞,糜竺/孙乾/简雍,关羽/张飞
101,吕布,群雄,下邳困局,徐州,平原,雨,198年,吕布被曹操围困于下邳，水淹下邳,下邳之战,曹操,夏侯惇/曹仁/郭嘉/荀攸/刘备,夏侯惇/曹仁/郭嘉,荀攸/刘备
102,貂蝉,群雄,虎牢援战,司州,关隘,晴,190年,貂蝉随董卓在虎牢关大营，亲历联军讨伐压境,虎牢关之战,袁绍,公孙瓒/袁术/孙坚/曹操/刘备,公孙瓒/袁术/孙坚,曹操/刘备
104,貂蝉,群雄,长安夺门,司州,关隘,风,192年,吕布刺董后长安门禁混乱，貂蝉协助吕布控制城门,长安政变·吕布刺董,董卓,李儒/牛辅/樊稠/郭汜/李傕,李儒/牛辅/樊稠,郭汜/李傕
105,貂蝉,群雄,李郭追杀,司州,关隘,雨,192年,李傕郭汜反攻长安，貂蝉随王允困守宫城,李傕郭汜攻长安之战,李傕,郭汜/樊稠/张济/段煨/杨奉,郭汜/樊稠/张济,段煨/杨奉
107,袁绍,群雄,讨董盟主,司州,关隘,晴,190年,袁绍作为十八路诸侯的盟主，指挥联合讨伐董卓,虎牢关之战,董卓,李肃/胡轸/徐荣/吕布/华雄,李肃/胡轸/徐荣,吕布/华雄
108,袁绍,群雄,朝歌平叛,冀州,平原,晴,191年,黑山军首领于毒、白绕等人叛乱，袁绍联合曹操将其击溃,平叛黑山军,于毒,白绕/眭固/刘石/左校/张燕,白绕/眭固/刘石,左校/张燕
109,袁绍,群雄,界桥激战,冀州,平原,晴,191年,袁绍大破公孙瓒精锐白马义从于界桥,界桥之战,公孙瓒,刘备/赵云/严纲/田楷/关靖,田楷/关靖/严纲,刘备/赵云
110,袁绍,群雄,公孙征伐,幽州,雪地,晴,199年,袁绍击败公孙瓒，统一河北四州,易京之战,公孙瓒,田豫/田楷/关靖/邹丹/单经,田豫/田楷/关靖,邹丹/单经
111,袁绍,群雄,官渡崩局,司州,平原,风,200年,官渡之战袁绍大败，乌巢被烧,官渡之战,曹操,许褚/荀攸/郭嘉/徐晃/于禁,许褚/荀攸/郭嘉,徐晃/于禁
113,董卓,群雄,凉州剿羌,凉州,沙漠,风,184年,董卓早年随皇甫嵩平定羌乱，积累军功起家,凉州羌乱平叛,北宫伯玉,李文侯/边章/韩遂/王国/马腾,李文侯/边章/韩遂,王国/马腾
114,董卓,群雄,入洛掌权,司州,关隘,晴,189年,董卓率西凉军入洛阳，废少帝立献帝,董卓入洛阳,丁原,何进/何苗/卢植/袁术/袁绍,何进/何苗/卢植,袁术/袁绍
115,董卓,群雄,诸侯讨伐,司州,关隘,晴,190年,十八路诸侯讨董，吕布守虎牢关,虎牢关之战,袁绍,公孙瓒/袁术/孙坚/曹操/刘备,公孙瓒/袁术/孙坚,曹操/刘备
116,张角,群雄,冀州起兵,冀州,平原,风,184年,张角率黄巾军起义，席卷天下,黄巾起义魏郡首战,皇甫嵩,朱儁/卢植/刘备/曹操/孙坚,朱儁/卢植/刘备,曹操/孙坚
117,张角,群雄,黄巾连胜,豫州,平原,晴,184年,黄巾军初期连克郡县，势如破竹,豫州攻势,皇甫嵩,朱儁/刘备/孙坚/卢植/曹操,朱儁/刘备/孙坚,卢植/曹操
118,张角,群雄,广宗病逝,冀州,平原,晴,184年,皇甫嵩强攻广宗，张角病死军溃,广宗之战·终局,皇甫嵩,朱儁/曹操/刘备/卢植/董卓,朱儁/曹操/刘备,卢植/董卓
119,曹仁,魏,兖州讨吕,兖州,平原,晴,194年,曹操与吕布争夺兖州、徐州。曹仁领兵攻略周边县城，牵制吕布军，多次击破吕布部将,濮阳之战,吕布,宋宪/魏续/高顺/张辽/陈宫,宋宪/魏续/高顺,张辽/陈宫
120,曹仁,魏,官渡争锋,司州,平原,风,200年,袁绍主力与曹操对峙官渡。刘备、韩荀袭扰曹军后方粮道，曹仁率骑兵快速出击，大破刘备,官渡之战,袁绍,许攸/颜良/沮授/文丑/刘备,许攸/颜良/沮授,文丑/刘备
121,曹仁,魏,南郡保卫战,荆州,关隘,雨,209年,赤壁大败后曹军北撤，曹仁独守江陵，曹仁镇守南郡与周瑜激战，坚守一年有余,南郡之战,周瑜,程普/凌统/黄盖/甘宁/吕蒙,程普/凌统/黄盖,乐甘宁/吕蒙
121,曹仁,魏,渭南之战,司州,关隘,晴,211年,曹仁以安西将军都督诸军坚守潼关，拖住马超、韩遂十万联军,渭南之战,马超,成宜/程银/马岱/韩遂/庞德,成宜/程银/马岱,韩遂/庞德
122,曹仁,魏,襄樊之战,荆州,关隘,雨,219年,关羽北上围攻樊城，水淹七军，于禁投降、庞德战死。樊城危急，曹仁沉白马盟誓，率数千残兵死守不退，坚守至徐晃援军到来，合力击退关羽,樊城之战,关羽,赵累/王甫/关平/廖化,赵累/王甫,关平/廖化
