编号,卡名,职业/阵营,类型,稀有度,费用(LV1/LV2),LV1效果,LV2效果,是否移除(LV1/LV2),连击标签
001,破阵斩,通用,近战攻击,常规,0/0,对目标造成8伤害,对目标造成10伤害,否/否,"近战,起手"
002,追身突刺,通用,近战攻击,常规,1/1,对目标造成12伤害，若目标有诅咒则额外+4伤害,对目标造成14伤害，若目标有诅咒则额外+6伤害,否/否,"近战,诅咒联动"
003,横扫千军,通用,近战攻击,常规,2/2,对敌方全体目标造成10伤害,对敌方全体目标造成13伤害,否/否,"近战,群攻"
004,穿云箭,通用,远程攻击,常规,1/1,对任意敌方目标造成11伤害,对任意敌方目标造成14伤害,否/否,"远程,点杀"
005,连珠箭,通用,远程攻击,常规,2/2,随机对2个可见敌人各造成7伤害,随机对2个可见敌人各造成9伤害,否/否,"远程,连击"
006,定点狙袭,通用,远程攻击,常规,3/2,对敌将造成24伤害（可直击主将）,对敌将造成26伤害（可直击主将），费用-1,是/否,"远程,斩首"
007,破甲重击,通用,近战攻击,常规,2/2,对目标造成14伤害并施加2层破甲,对目标造成17伤害并施加3层破甲,否/否,"近战,破甲"
008,火矢齐发,通用,远程攻击,常规,3/3,对敌方全体造成8伤害并施加1层灼烧,对敌方全体造成10伤害并施加1层灼烧,是/否,"远程,群攻,灼烧"
009,越位突刺,通用,近战攻击,常规,1/1,可越位攻击任意目标并造成10伤害,可越位攻击任意目标并造成13伤害,否/否,"近战,越位"
010,压阵猛攻,通用,近战攻击,常规,2/2,对目标造成16伤害，若目标是兵种则额外+4伤害,对目标造成18伤害，若目标是兵种则额外+6伤害,否/否,"近战,反兵"
011,疾风三连,通用,近战攻击,常规,2/2,对目标连续3次各造成5伤害,对目标连续3次各造成6伤害,否/否,"近战,多段"
012,弓弦震击,通用,远程攻击,常规,1/1,对任意目标造成9伤害并施加1层迟缓,对任意目标造成11伤害并施加1层迟缓,否/否,"远程,控制"
013,夜战突矢,通用,远程攻击,常规,2/1,对任意目标造成15伤害,对任意目标造成16伤害，费用-1,否/否,"远程,效率"
014,断甲穿喉,通用,近战攻击,常规,3/3,对目标造成22伤害，若目标有破甲则额外+8伤害,对目标造成24伤害，若目标有破甲则额外+10伤害,是/否,"近战,终结"
015,追猎标记,通用,远程攻击,常规,1/1,对目标造成7伤害并标记，下次攻击该目标时+5伤害,对目标造成9伤害并标记，下次攻击该目标时+6伤害,否/否,"远程,连段"
016,扰阵飞石,通用,远程攻击,常规,1/1,随机对2个敌方目标各造成4伤害,对目标随机2次各造成5伤害,否/否,"远程,多段"
017,齐步压上,通用,近战攻击,常规,2/2,对目标造成13伤害，若有步兵在场则改为18伤害,若有步兵在场则造成21伤害，否则造成15伤害,否/否,"近战,兵种联动"
018,夺旗斩,通用,近战攻击,常规,2/2,对目标造成14伤害，若本回合已打过技能牌则额外+6伤害,对目标造成16伤害，若本回合已打过技能牌则额外+7伤害,否/否,"近战,技能连携"
019,霹雳箭雨,通用,远程攻击,常规,3/3,随机对3个敌方目标各造成7伤害,随机对3个敌方目标各造成9伤害,是/否,"远程,爆发"
020,破胆喝令,通用,攻击-技能,常规,1/1,对任意目标造成8伤害并施加1层虚弱,对任意目标造成10伤害并施加1层虚弱,否/否,"控制,诅咒联动"
021,举盾,通用,技能,常规,1/1,获得10护甲,获得13护甲,否/否,护甲
022,守势反击,通用,技能,常规,1/1,获得7护甲，本回合受击后对攻击者反伤6,获得9护甲，本回合受击后对攻击者反伤8,否/否,"护甲,反击"
023,军阵固守,通用,技能,常规,2/2,我方全体获得8护甲,我方全体获得10护甲,否/否,群体技能
024,铁壁,通用,技能,常规,2/2,获得16护甲并免疫一次位移,获得20护甲并免疫一次位移,否/否,"护甲,抗控"
025,韧性,通用,技能,常规,1/1,移除1层控制并获得8护甲,移除2层控制并获得11护甲,否/否,"净化,护甲"
026,守城令,通用,技能,常规,3/3,本回合受到伤害-40%,本回合受到伤害-50%,是/否,"减伤,回合技"
027,拒马阵,通用,技能,常规,2/2,获得12护甲且本回合敌方骑兵伤害-25%,获得15护甲且本回合敌方骑兵伤害-30%,否/否,"护甲,反骑"
028,以守待攻,通用,技能,常规,1/1,获得9护甲，若本回合未攻击则下回合抽1,获得11护甲，若本回合未攻击则下回合抽2,否/否,"运营,过牌"
029,盾阵轮换,通用,技能,常规,2/2,获得14护甲并抽1,获得17护甲并抽1,否/否,"护甲,过牌"
030,坚壁清野,通用,技能-技能,常规,2/1,获得10护甲并使敌方全体攻击-10%持续1回合,获得12护甲并使敌方全体攻击-10%持续1回合，费用-1,否/否,"护甲,群体减益"
031,危城死守,通用,技能,常规,3/3,获得24护甲,获得28护甲,是/否,"高护甲,爆发防"
032,备战整甲,通用,技能,常规,1/1,抽1并获得6护甲,抽1并获得9护甲,否/否,"过牌,护甲"
033,侧翼掩护,通用,技能-技能,常规,1/1,我方全体与友方兵种各获得6护甲,我方全体与友方兵种各获得8护甲,否/否,"兵种联动,群防"
034,守心定神,通用,技能,常规,1/1,移除1层混乱或虚弱并抽1,移除1层混乱或虚弱并额外获得5护甲,否/否,"净化,过牌"
035,金汤之势,通用,技能,常规,2/2,获得15护甲，若你有将令≥1则额外+5护甲,获得18护甲，若你有将令≥1则额外+6护甲,否/否,"护甲,将令联动"
036,护军铁令,通用,技能-技能,常规,2/2,附属兵种获得12护甲,附属兵种获得16护甲,否/否,兵种防护
037,调度,通用,技能,常规,1/1,抽1并重置1张费用≤1的手牌,抽1并重置1张费用≤2的手牌,否/否,"过牌,重置"
038,诈降,通用,技能-诅咒,常规,2/2,目标攻击-25%持续1回合,目标攻击-30%持续1回合,否/否,"诅咒,控攻"
039,佯攻转实,通用,技能,常规,2/2,本回合下一张攻击牌伤害+8,本回合下一张攻击牌伤害+11,否/否,"增伤,连段"
040,号令齐发,通用,技能-技能,常规,2/2,本回合你与兵种伤害+20%,本回合你与兵种伤害+25%,否/否,"兵种联动,爆发"
041,军心整肃,通用,技能,常规,1/1,抽1，若手牌有诅咒则再抽1,抽1，若手牌有诅咒则改为再抽2,否/否,"过牌,诅咒经营"
042,诱敌深入,通用,技能-控制,常规,3/3,敌方目标获得2层易伤并被集火1回合,敌方目标获得3层易伤并被集火1回合,是/否,"控场,易伤"
043,战鼓催征,通用,技能,常规,1/1,获得1点将令充能,获得1点将令充能并抽1,否/否,"将令,节奏"
044,兵书推演,通用,技能,常规,1/1,查看牌库顶3张，选1张加入手牌，其余置底,查看牌库顶4张，选1张加入手牌，其余置底,否/否,"检索,运营"
045,分兵奇袭,通用,技能-技能,常规,2/2,若有附属兵种存在，随机对2个敌方目标各造成6伤害,随机对2个敌方目标各造成8伤害,否/否,"兵种联动,多段"
046,暗渡陈仓,通用,技能,常规,2/1,抽2弃1,抽2弃1，费用-1,否/否,"过牌,滤牌"
047,士气激扬,通用,技能,常规,2/2,本回合打出的前2张攻击牌各+4伤害,本回合打出的前2张攻击牌各+6伤害,否/否,"连击,增伤"
048,诡道布疑,通用,技能-诅咒,常规,2/2,对目标施加混乱1回合,对目标施加混乱1回合并附加1层虚弱,否/否,"控制,诅咒"
049,缓兵之计,通用,技能-控制,常规,1/1,对目标施加1层迟缓并抽1,对目标施加2层迟缓并抽1,否/否,"控制,过牌"
050,合围指令,通用,技能-技能,常规,2/2,本回合兵种首次攻击后你抽1,本回合兵种前两次攻击各触发抽1（上限2次）,否/否,"兵种联动,引擎"
051,步阵推进,通用,技能,常规,1/1,步兵本回合攻击+20%且护甲+6,步兵本回合攻击+25%且护甲+8,否/否,步兵联动
052,骑袭号角,通用,技能,常规,2/2,骑兵本回合突击伤害+30%,骑兵本回合突击伤害+40%,否/否,骑兵联动
053,弓阵齐射,通用,技能,常规,2/2,弓兵立即追加1次7点远程打击,弓兵立即追加1次10点远程打击,否/否,弓兵联动
054,混编技能,通用,技能,常规,2/2,每有1种我方兵种，本卡获得+5护甲与+3伤害,每种兵种改为+6护甲与+4伤害,否/否,编制联动
055,枪阵拒马,通用,技能,常规,1/1,枪兵本回合受近战伤害-25%,枪兵本回合受近战伤害-35%,否/否,"枪兵联动,反近战"
056,军阵整编,通用,技能,常规,2/2,恢复所有兵种8生命,恢复所有兵种12生命,否/否,兵种续航
057,携刃前压,通用,技能-攻击,常规,1/1,若有附属兵种存在，对目标造成12伤害,若有附属兵种存在，对目标造成14伤害,否/否,联动触发
058,兵势转圜,通用,技能-技能,常规,2/2,移除1个我方兵种的诅咒并抽1,移除1个我方兵种的诅咒并抽2,否/否,"净化,兵种联动"
059,统御加派,通用,技能,常规,2/2,本战斗容量上限+1,本战斗容量上限+2,是/是,"容量,构筑"
060,援军急召,通用,技能,常规,3/2,立即召唤1个随机基础兵种（不超过容量）,立即召唤1个随机基础兵种，召唤后该兵种获得8护甲,是/否,"召唤,展开"
061,扬沙,通用,技能,常规,1/1,地形转为沙地并使敌方命中-10%持续1回合,地形转为沙地并使敌方命中-15%持续1回合,否/否,"地形,削弱"
062,火线蔓延,通用,技能,常规,2/2,地形转为火地并使敌方全体获得1层灼烧,地形转为火地并使敌方全体获得2层灼烧,否/否,"地形,灼烧"
063,雨战整军,通用,技能,常规,2/2,地形转为雨地并使双方爆发伤害-15%持续1回合,地形转为雨地并使双方爆发伤害-20%持续1回合,否/否,"地形,节奏"
064,构筑壕沟,通用,技能,常规,2/2,地形转为技能地并使我方全体减伤10%持续1回合,我方全体减伤15%持续1回合,否/否,"地形,技能"
065,林地伏击,通用,技能-攻击,常规,2/2,若地形为林地，对任意目标造成16伤害，否则造成10伤害,林地时造成20伤害，否则造成12伤害,否/否,"地形,点杀"
066,平原冲阵,通用,技能-技能,常规,1/1,地形转为平原，本回合骑兵伤害+20%,地形转为平原，本回合骑兵伤害+30%,否/否,"地形,骑兵联动"
067,山道坚守,通用,技能-技能,常规,1/1,地形转为山地并获得10护甲,地形转为山地并获得14护甲,否/否,"地形,护甲"
068,沼泽牵制,通用,技能-控制,常规,2/2,地形转为沼地并使敌方目标获得1层迟缓,地形转为沼地并使敌方目标获得2层迟缓,否/否,"地形,控制"
069,霜地结阵,通用,技能-技能,常规,2/2,地形转为寒地并使我方获得8护甲，移除1层灼烧,地形转为寒地并使我方获得10护甲，移除2层灼烧,否/否,"地形,净化"
070,燎原风向,通用,技能-技能,常规,1/1,若当前为火地则抽1，否则转为火地,若当前为火地则抽2，否则转为火地并抽1,否/否,"地形,过牌"
071,地利改道,通用,技能-技能,常规,1/1,将当前地形变更为你上一回合使用过的地形标签,将当前地形变更为你上一回合使用过的地形标签，改道后额外获得1点将令充能,否/否,"地形,将令"
072,拒水列阵,通用,技能-技能,常规,2/2,地形转为浅水并使敌方骑兵伤害-25%持续1回合,敌方骑兵伤害-35%持续1回合,否/否,"地形,反骑"
073,焦土军令,通用,技能-诅咒,常规,3/2,地形转为焦土并使敌方全体获得1层虚弱,地形转为焦土并使敌方全体获得2层虚弱，费用-1,是/否,"地形,群体诅咒"
074,高地齐射,通用,技能-技能,常规,2/2,若地形为山地，弓兵立即追加一次8点攻击,山地时追加一次11点攻击,否/否,"地形,弓兵联动"
075,移阵换形,通用,技能,常规,0/0,将当前地形改为随机地形并抽1,将当前地形改为随机地形，可在2个随机地形中选择并抽1,否/否,"地形,运营"
076,毒计,通用,诅咒,常规,2/2,目标获得2层中毒,目标获得3层中毒,否/否,"施咒,中毒"
077,疑兵扰阵,通用,诅咒-控制,常规,2/2,目标获得混乱1回合,目标获得混乱1回合并附加1层虚弱,否/否,"施咒,混乱"
078,断粮,通用,诅咒,常规,2/2,目标下回合伤害-20%,目标下回合伤害-30%,否/否,"施咒,减攻"
079,离间,通用,诅咒-控制,常规,3/3,随机2个敌方目标互相造成8伤害并各附加1层虚弱,随机2个敌方目标互相造成12伤害并各附加1层虚弱,是/否,"施咒,互伤"
080,寒策,通用,诅咒-控制,常规,1/1,目标获得1层迟缓并抽1,目标获得2层迟缓并抽1,否/否,"施咒,过牌"
081,反间文书,通用,诅咒-控制,常规,2/2,敌将获得命令失效1回合,敌将获得命令失效2回合,否/否,"施咒,封令"
082,疫雾,通用,诅咒,常规,3/3,敌方全体中毒1层,敌方全体中毒2层,否/否,"施咒,群体"
083,诈败诱敌,通用,诅咒-控制,常规,2/2,敌方目标获得2层易伤并1层迟缓,敌方目标获得3层易伤并1层迟缓,否/否,"施咒,控场"
084,心战,通用,诅咒,常规,2/2,目标攻击-15%，若其已有诅咒则再施加1层破甲,目标攻击-20%，若其已有诅咒则施加2层破甲,否/否,"施咒,条件联动"
085,缚马索,通用,诅咒-控制,常规,1/1,骑兵目标无法突击1回合,骑兵目标无法突击2回合,否/否,"施咒,反骑"
086,诡谋深算,通用,诅咒-技能,常规,2/2,本回合每施加1种新诅咒返还1费（上限1）,返费上限提升为2,否/否,"施咒,资源"
087,连环负咒,通用,诅咒-攻击,常规,3/3,若目标已有2种诅咒则造成22伤害，否则造成12伤害,若目标已有2种诅咒则造成28伤害，否则造成14伤害,是/否,"施咒,终结"
088,衰志谣言,通用,诅咒,常规,1/1,目标获得1层虚弱并抽1,目标获得2层虚弱并抽1,否/否,"施咒,过牌"
089,乱军鼓噪,通用,诅咒-控制,常规,2/2,随机敌方目标获得混乱并受到6伤害,随机敌方目标获得混乱并受到10伤害,否/否,"施咒,干扰"
090,蚀甲毒雾,通用,诅咒,常规,2/2,目标获得1层中毒和1层破甲,目标获得2层中毒和1层破甲,否/否,"施咒,复合诅咒"
091,忍辱反击,通用,诅咒转收益,常规,1/1,若本回合抽到诅咒，则对任意目标造成12伤害,若本回合抽到诅咒，则对任意目标造成16伤害,否/否,"诅咒经营,反击"
092,借势用险,通用,诅咒转收益,常规,1/1,移除1张手中诅咒并抽2,移除1张手中诅咒并抽3,否/否,"诅咒经营,过牌"
093,韬晦,通用,诅咒转收益-技能,常规,2/2,每持有1张诅咒获得4护甲（最多20）,每张诅咒获得5护甲（最多25）,否/否,"诅咒经营,护甲"
094,逆用兵书,通用,诅咒转收益-技能,常规,2/1,若牌库中诅咒≥5则本卡费用-1并抽2,若牌库中诅咒≥4则本卡费用-1并抽2,否/否,"诅咒经营,滤牌"
095,祸福相依,通用,诅咒转收益,常规,2/2,获得1张随机增益并将1张诅咒洗入牌库,获得更高档随机增益并将1张诅咒洗入牌库,否/否,"诅咒经营,风险收益"
096,以毒攻毒,通用,诅咒转收益,常规,2/2,移除1张手中诅咒并给目标施加同类诅咒1层,移除1张手中诅咒并给目标施加同类诅咒2层,否/否,"诅咒经营,转化"
097,枯木逢春,通用,诅咒转收益-恢复,常规,1/1,移除1张诅咒并恢复10生命,移除1张诅咒并恢复14生命,否/否,"诅咒经营,续航"
098,破局,通用,诅咒转收益-攻击,常规,3/3,造成12伤害，每持有1张诅咒额外+3伤害（最多+18）,造成14伤害，每持有1张诅咒额外+4伤害（最多+24）,是/否,"诅咒经营,爆发"
099,隐忍待发,通用,诅咒转收益-技能,常规,1/1,本回合若不打出诅咒，下回合抽牌+2,下回合抽牌+3,否/否,"诅咒经营,蓄势"
100,负薪前行,通用,诅咒转收益-技能,常规,0/0,向牌库加入1张诅咒并获得1点将令充能,向牌库加入1张诅咒并获得1点将令充能且抽1,否/否,"诅咒经营,将令"
101,旧债清算,通用,诅咒转收益-攻击,常规,2/2,按本局净化诅咒数量对目标造成伤害，每次净化+4伤害,每次净化+5伤害,否/否,"诅咒经营,结算"
102,危局掌控,通用,诅咒转收益-技能,常规,3/2,若牌库中诅咒≥8，我方全体本回合伤害+20%,若牌库中诅咒≥7，我方全体本回合伤害+25%,是/否,"诅咒经营,全体增益"
103,逆流而上,通用,诅咒转收益-技能,常规,1/1,本回合每获得1个诅咒获得5护甲（最多20）,本回合每获得1个诅咒获得6护甲（最多24）,否/否,"诅咒经营,受益"
104,险中夺机,通用,诅咒转收益-技能,常规,1/1,若你手牌有2张以上诅咒则抽2,若你手牌有2张以上诅咒则抽3,否/否,"诅咒经营,过牌"
105,军纪整顿,通用,净化,常规,1/1,移除1张手牌诅咒,移除1张手牌诅咒并抽1,否/否,"净化,工具"
106,战地焚卷,通用,净化,常规,1/1,移除牌库中1张随机诅咒,移除牌库中2张随机诅咒,否/否,"净化,牌库"
107,疗养令,通用,净化-恢复,常规,2/2,净化1张诅咒并恢复12生命,净化1张诅咒并恢复16生命,否/否,"净化,续航"
108,焚香静气,通用,净化-技能,常规,2/2,本回合免疫新诅咒,本回合与下回合首个新诅咒免疫,是/否,"净化,抗性"
109,洗练,通用,净化,常规,1/1,移除1张诅咒并抽1,移除1张诅咒并抽2,否/否,"净化,过牌"
110,止谤,通用,净化-控制,常规,1/1,移除2层混乱或虚弱,移除3层混乱或虚弱,否/否,"净化,解控"
111,肃军法,通用,净化-技能,常规,2/2,移除1张诅咒并使本回合攻击+15%,移除1张诅咒并使本回合攻击+20%,否/否,"净化,增伤"
112,清障行军,通用,净化-技能,常规,1/1,移除1张诅咒并将地形转为平原,移除1张诅咒并将地形转为平原且抽1,否/否,"净化,地形"
113,复命文书,通用,净化-将令,常规,1/1,移除1张诅咒并获得1点将令充能,移除1张诅咒并获得1点将令充能且抽1,否/否,"净化,将令"
114,战后整备,通用,净化-技能,常规,2/2,移除1张诅咒并恢复我方兵种8生命,移除1张诅咒并恢复我方兵种12生命,否/否,"净化,兵种续航"
115,连环突击,通用,近战攻击,常规,2/2,对目标造成2次各8伤害，使用后移除,对目标造成2次各9伤害且不再移除,是/否,"近战,连击,移除机制变化"
116,疾影连射,通用,远程攻击,常规,2/2,对任意目标进行2次各7伤害,升级后改为对任意目标进行3次各7伤害,否/否,"远程,连击次数提升"
117,死战到底,通用,技能-技能,常规,1/1,获得8护甲，本回合每次受击反伤3（持续2次）,反伤次数提升至3次,否/否,"技能,反击次数"
118,重整旗鼓,通用,技能,常规,2/2,抽2弃1并重置1张1费牌,抽2弃1并重置1张2费牌,否/否,"运营,重置"
119,火油罐投掷,通用,技能-诅咒,常规,2/2,目标获得1层灼烧并将地形转为火地,目标获得2层灼烧并转为火地,否/否,"地形,施咒"
120,蓄势斩将,通用,近战攻击,常规,3/2,若本回合已打出2张牌则对目标造成30伤害，否则造成18伤害,条件达成时造成34伤害，否则造成20伤害,是/否,"近战,连段终结"
121,裂阵突击,通用,近战攻击,常规,1/1,对目标造成11伤害并施加1层易伤,对目标造成13伤害并施加1层易伤,否/否,"近战,易伤"
122,破军二段,通用,近战攻击,常规,2/2,对目标造成2次各7伤害,对目标造成2次各9伤害,否/否,"近战,多段"
123,破橹斩,通用,近战攻击,常规,2/2,对目标造成15伤害，若其有护甲则额外+5伤害,对目标造成17伤害，若其有护甲则额外+6伤害,否/否,"近战,反护甲"
124,迎头重锤,通用,近战攻击,常规,3/2,对目标造成26伤害，使用后移除,费用-1且造成28伤害并不移除,是/否,"近战,重击,移除机制变化"
125,并进连砍,通用,近战攻击,常规,2/2,本回合每已打出1张攻击牌，本卡+4伤害,本回合每已打出1张攻击牌，本卡+5伤害,否/否,"近战,连段"
126,斩将夺势,通用,近战攻击,常规,2/2,对敌将造成18伤害（可直击主将）,对敌将造成22伤害（可直击主将）,否/否,"近战,越位"
127,破锋连环,通用,近战攻击,常规,1/1,对目标造成8伤害，若其有诅咒则再触发一次同伤害,基础伤害10且连环触发条件不变,否/否,"近战,诅咒联动"
128,疾踏冲军,通用,近战攻击,常规,0/0,仅可攻击目标造成7伤害,仅可攻击目标造成9伤害,否/否,"近战,0费"
129,背水一击,通用,近战攻击,常规,1/1,若你生命≤50%造成20伤害，否则造成10伤害,低血时造成22伤害，高血时造成12伤害,否/否,"近战,残血联动"
130,断阵破旗,通用,近战攻击,常规,3/3,对目标造成20伤害并使其攻击-15%持续1回合,对目标造成24伤害并使攻击-20%持续1回合,是/否,"近战,控攻"
131,流星追矢,通用,远程攻击,常规,1/1,对任意目标造成10伤害，若其在后排则额外+3伤害,基础12伤害且后排额外+4伤害,否/否,"远程,后排克制"
132,裂空重箭,通用,远程攻击,常规,2/2,对任意目标造成16伤害,对任意目标造成19伤害,否/否,"远程,点杀"
133,散射箭幕,通用,远程攻击,常规,2/2,随机对3个敌方目标各造成5伤害,随机对3个敌方目标各造成6伤害,否/否,"远程,多段"
134,定军狙杀,通用,远程攻击,常规,3/3,指定敌将造成27伤害（可直击主将）,指定敌将造成31伤害（可直击主将）,是/否,"远程,斩首"
135,穿林箭,通用,远程攻击,常规,1/1,若地形为林地造成16伤害，否则造成11伤害,林地时造成20伤害，否则造成13伤害,否/否,"远程,地形"
136,破盾箭,通用,远程攻击,常规,2/2,造成12伤害并移除目标8点护甲,造成14伤害并移除12点护甲,否/否,"远程,破甲"
137,飞羽压制,通用,远程攻击,常规,2/2,对目标造成8伤害并使其攻击-10%持续1回合,对目标造成10伤害并使其攻击-15%持续1回合,否/否,"远程,压制"
138,连弩追击,通用,远程攻击,常规,2/2,对任意目标造成2次各6伤害,升级后改为对任意目标造成3次各6伤害,否/否,"远程,连击次数提升"
139,暴雨穿云,通用,远程攻击,常规,3/3,对敌方全体造成9伤害,对敌方全体造成11伤害,是/否,"远程,群攻"
140,校射预判,通用,远程攻击,常规,1/1,查看敌方下次行动并对任意目标造成9伤害,查看敌方下次行动并造成11伤害且抽1,否/否,"远程,信息"
141,稳阵举盾,通用,技能,常规,1/1,获得11护甲,获得14护甲,否/否,护甲
142,铁壁连环,通用,技能,常规,2/2,获得15护甲，本回合第一次受击后再得5护甲,本回合第一次受击后再得8护甲,否/否,"护甲,连锁"
143,固守三军,通用,技能,常规,2/2,你与附属兵种各获得7护甲,你与附属兵种各获得9护甲,否/否,"群体技能,兵种"
144,反震壁垒,通用,技能,常规,1/1,获得8护甲并反伤5,获得10护甲并反伤7,否/否,"护甲,反击"
145,重甲整列,通用,技能,常规,2/2,获得18护甲但本回合攻击伤害-10%,获得22护甲且攻击惩罚移除,否/否,"护甲,权衡"
146,死守营垒,通用,技能,常规,3/3,本回合受到伤害-35%并获得10护甲,本回合受到伤害-45%并获得12护甲,是/否,"减伤,爆发防"
147,祛乱定心,通用,技能-净化,常规,1/1,移除1层混乱并获得7护甲,移除2层混乱并获得8护甲,否/否,"净化,护甲"
148,收兵稳线,通用,技能-技能,常规,2/2,附属兵种恢复6生命并获得6护甲,附属兵种恢复9生命并获得8护甲,否/否,兵种续航
149,韧阵回环,通用,技能,常规,1/1,获得9护甲，若本回合受击2次以上则抽1,获得11护甲并保持触发条件,否/否,"护甲,过牌"
150,军心护体,通用,技能-技能,常规,2/1,获得12护甲并抽1,获得13护甲并抽1，费用-1,否/否,"护甲,过牌,降费"
151,技能换手,通用,技能,常规,1/1,弃1抽2,弃1抽3,否/否,"过牌,滤牌"
152,奇兵调度,通用,技能-技能,常规,2/2,若有附属兵种存在则抽2，否则抽1,若有附属兵种存在则抽3，否则抽2,否/否,"兵种联动,过牌"
153,军略加注,通用,技能,常规,1/1,本回合下一张技能牌效果+30%,下一张技能牌效果+45%,否/否,"技能连携,增益"
154,战机捕捉,通用,技能,常规,1/1,若敌方有诅咒则抽2，否则抽1,若敌方有诅咒则抽3，否则抽1,否/否,"诅咒联动,过牌"
155,分进合击,通用,技能-攻击,常规,2/2,本回合你打出的第2张攻击牌额外触发一次50%伤害,额外触发60%伤害,否/否,"连段,复制"
156,调虎离山,通用,技能-控制,常规,2/2,使敌目标迟缓1并攻击-10%,迟缓2并攻击-10%,否/否,"控制,压制"
157,借东风,通用,技能-技能,常规,2/2,若当前为火地则抽2并使灼烧伤害+1层,火地时抽3并灼烧+1层,否/否,"地形,灼烧联动"
158,应变军议,通用,技能,常规,0/0,发现三选一获得一张临时技能牌,发现四选一获得一张临时技能牌,否/否,"技能,发现"
159,临阵点将,通用,技能-将令,常规,1/1,获得1点将令并使下一张技能牌-1费,获得1点将令并抽1,否/否,"将令,兵种联动"
160,统军疾令,通用,技能-将令,常规,2/2,立刻获得2点将令充能,立刻获得2点将令充能并抽1,是/否,"将令,爆发"
161,步阵合围,通用,技能,常规,1/1,若有步兵在场，对敌目标造成13伤害并施加1层易伤,若有步兵在场，对敌目标造成15伤害并施加1层易伤,否/否,"步兵联动,控场"
162,枪骑并驱,通用,技能,常规,2/2,若同时有枪兵与骑兵，本回合两者伤害+20%,若同时有枪兵与骑兵，本回合两者伤害+28%,否/否,混编联动
163,弓手压制线,通用,技能,常规,2/2,弓兵本回合首次攻击后使目标迟缓1层,弓兵本回合前两次攻击均施加迟缓1层,否/否,"弓兵联动,控制"
164,前锋换列,通用,技能-技能,常规,1/1,重置1张技能牌并抽1,可重置1张费用≤2的技能牌并抽1,否/否,"兵种联动,重置"
165,鼓角齐鸣,通用,技能-将令,常规,1/1,若有2个以上兵种获得1点将令,若有2个以上兵种获得2点将令,否/否,"兵种联动,将令"
