编号,卡名,职业/阵营,类型,稀有度,费用(LV1/LV2),LV1效果,LV2效果,是否移除(LV1/LV2),连击标签
166,整军再战,通用,技能,常规,2/2,复活1个本战斗阵亡的基础兵种（半血状态）,复活1个本战斗阵亡的基础兵种并获得8护甲,是/是,"兵种联动,复活"
167,援护射击,通用,技能-攻击,常规,1/1,附属兵种每有1单位，本卡+3伤害（基础8）,每单位+4伤害（基础9）,否/否,"兵种联动,成长"
168,战线拉扯,通用,技能-控制,常规,2/2,兵种本回合攻击时有50%概率施加1层虚弱,概率提升至70%,否/否,"兵种联动,施咒"
169,军粮补给,通用,技能-恢复,常规,1/1,我方兵种各恢复7生命,我方兵种各恢复10生命,否/否,"兵种联动,续航"
170,兵符激发,通用,技能-技能,常规,2/2,本回合兵种伤害+18%并获得6护甲,本回合兵种伤害+24%并获得8护甲,否/否,"兵种联动,增益"
171,沙地掩杀,通用,技能-攻击,常规,2/2,地形转为沙地并对任意目标造成14伤害,地形转为沙地并造成17伤害,否/否,"地形,点杀"
172,雨幕遮断,通用,技能-控制,常规,2/2,地形转为雨地并使敌远程伤害-20%持续1回合,敌远程伤害-30%持续1回合,否/否,"地形,反远程"
173,山隘据守,通用,技能-技能,常规,1/1,地形转为山地并获得12护甲,地形转为山地并获得16护甲,否/否,"地形,护甲"
174,林火伏燃,通用,技能-诅咒,常规,3/2,若当前为林地，则敌方全体获得1层灼烧并转为火地,林地时敌方全体获得2层灼烧并转为火地,是/否,"地形,灼烧"
175,河滩牵军,通用,技能-控制,常规,1/1,地形转为浅水并使敌目标迟缓1层,地形转为浅水并使敌目标迟缓2层,否/否,"地形,控制"
176,高坡布阵,通用,技能-技能,常规,2/2,地形转为高地并使弓兵本回合伤害+25%,弓兵伤害+35%,否/否,"地形,弓兵联动"
177,逆风布火,通用,技能-技能,常规,2/2,地形转为火地并抽1，若目标有灼烧则再抽1,地形转为火地并抽1，有灼烧则再抽2,否/否,"地形,过牌"
178,退守平川,通用,技能-技能,常规,1/1,地形转为平原并移除我方1层迟缓,地形转为平原并移除我方2层迟缓,否/否,"地形,净化"
179,天候转局,通用,技能,常规,0/0,随机在平原、山地、林地中切换并抽1,可在平原、山地、林地中指定切换并抽1,否/否,"地形,运营"
180,地利反制,通用,技能-诅咒,常规,2/2,若敌方地形收益生效，则对其主目标施加1层虚弱并造成10伤害,虚弱2层并造成12伤害,否/否,"地形,反制"
181,腐骨阴符,通用,诅咒,常规,2/2,目标获得2层中毒并1层虚弱,目标获得3层中毒并1层虚弱,否/否,"施咒,复合诅咒"
182,迟疑军令,通用,诅咒-控制,常规,1/1,目标获得1层迟缓并使其攻击-10%持续1回合,目标获得2层迟缓并使其攻击-10%持续1回合,否/否,"施咒,控制"
183,怯战流言,通用,诅咒,常规,2/2,随机敌方目标混乱1回合并抽1,随机敌方目标混乱1回合并抽2,否/否,"施咒,过牌"
184,绝粮围困,通用,诅咒,常规,3/3,敌目标获得2层虚弱并下回合伤害-20%,敌目标获得3层虚弱并下回合伤害-25%,否/否,"施咒,减攻"
185,钉足诡计,通用,诅咒-控制,常规,1/1,骑兵或目标获得迟缓2层,目标获得迟缓3层,否/否,"施咒,反骑"
186,惑心文书,通用,诅咒-控制,常规,2/2,敌将获得命令失效1回合并受到8伤害,命令失效2回合并受到10伤害,否/否,"施咒,封令"
187,瘴气封道,通用,诅咒-技能,常规,2/2,地形转为沼地并使敌全体中毒1层,地形转为沼地并使敌全体中毒2层,否/否,"施咒,地形"
188,连环离间计,通用,诅咒-控制,常规,3/3,随机2个敌方目标互伤10并各获得1层虚弱,随机2个敌方目标互伤14并各获得1层虚弱,是/否,"施咒,互伤"
189,削锐檄文,通用,诅咒,常规,1/1,目标攻击-15%持续1回合,目标攻击-20%持续1回合,否/否,"施咒,控攻"
190,溃阵疑云,通用,诅咒-控制,常规,2/2,使敌目标混乱并1层迟缓,混乱并2层迟缓,否/否,"施咒,控场"
191,蚀甲冷雾,通用,诅咒,常规,2/2,目标获得2层破甲,目标获得3层破甲,否/否,"施咒,破甲"
192,沉疴扩散,通用,诅咒,常规,3/3,若目标有中毒则扩散1层到全体，否则对其施加2层中毒,扩散2层否则施加3层中毒,是/否,"施咒,扩散"
193,困兵诡策,通用,诅咒-控制,常规,2/2,敌附属兵种伤害-20%并迟缓1层,敌附属兵种伤害-25%并迟缓2层,否/否,"施咒,反兵"
194,虚实错乱,通用,诅咒-控制,常规,1/1,目标本回合首次攻击无效,目标本回合前两次攻击中首次无效且第二次-50%,是/否,"施咒,强控"
195,恶名传书,通用,诅咒,常规,1/1,目标获得1层虚弱，若其已有诅咒则再抽1,目标获得2层虚弱且有诅咒时再抽1,否/否,"施咒,连携"
196,逆鳞触发,通用,诅咒转收益-攻击,常规,1/1,若本回合获得过诅咒，则对任意目标造成14伤害,触发时造成18伤害,否/否,"诅咒经营,反击"
197,险策换牌,通用,诅咒转收益-技能,常规,1/1,向牌库加入1张诅咒并抽2,向牌库加入1张诅咒并抽3,否/否,"诅咒经营,过牌"
198,噬咒成甲,通用,诅咒转收益-技能,常规,2/2,移除1张手牌诅咒并获得14护甲,移除1张手牌诅咒并获得18护甲,否/否,"诅咒经营,护甲"
199,忍垢蓄威,通用,诅咒转收益-技能,常规,2/2,每持有1张诅咒使本回合攻击牌+3伤害（上限15）,每张诅咒+4伤害（上限20）,否/否,"诅咒经营,增伤"
200,晦明轮转,通用,诅咒转收益,常规,1/1,移除1张诅咒并发现1张技能牌加入手牌,移除1张诅咒并发现2选1技能牌加入手牌,否/否,"诅咒经营,发现"
201,借祸东流,通用,诅咒转收益,常规,2/2,将手中1张诅咒转移给目标并造成8伤害,转移并造成12伤害,否/否,"诅咒经营,转移"
202,困局求生,通用,诅咒转收益-恢复,常规,1/1,若手牌有诅咒则恢复12生命并抽1,恢复15生命并抽1,否/否,"诅咒经营,续航"
203,计穷反制,通用,诅咒转收益-控制,常规,2/2,若本回合净化过诅咒则目标迟缓2层,触发时目标迟缓3层,否/否,"诅咒经营,控制"
204,沉疴爆发,通用,诅咒转收益-攻击,常规,3/3,每持有1张诅咒造成额外4伤害（基础10，上限30）,每诅咒+5伤害（基础12，上限37）,是/否,"诅咒经营,爆发"
205,污名契约,通用,诅咒转收益-技能,常规,0/0,加入1张诅咒并获得1点将令与抽1,加入1张诅咒并获得2点将令与抽2,否/否,"诅咒经营,将令"
206,隐忍折返,通用,诅咒转收益,常规,1/1,若本回合未打出诅咒则下回合首张攻击牌-1费,下回合前两张攻击牌各-1费,否/否,"诅咒经营,降费"
207,清帐断祟,通用,净化,常规,2/2,净化2张诅咒,净化2张诅咒并抽1,否/否,"净化,高效"
208,镇心军律,通用,净化-控制,常规,1/1,移除1层混乱和1层虚弱,移除2层混乱和1层虚弱,否/否,"净化,解控"
209,焚策净场,通用,净化-技能,常规,2/2,净化1张诅咒并移除场上所有灼烧1层,净化1张诅咒并移除灼烧2层,否/否,"净化,地形联动"
210,医营修复,通用,净化-恢复,常规,2/2,移除1张诅咒并恢复14生命,移除1张诅咒并恢复18生命,否/否,"净化,续航"
211,肃纪再整,通用,净化-技能,常规,2/2,移除1张诅咒并使兵种本回合伤害+15%,移除1张诅咒并使兵种伤害+22%,否/否,"净化,兵种联动"
212,止损筹谋,通用,净化-技能,常规,1/1,净化1张诅咒并抽1，若抽到诅咒则再抽1,净化1张诅咒并抽2,否/否,"净化,过牌"
213,扼要重击,通用,近战攻击,常规,2/2,对目标造成17伤害，若其有易伤则再+5伤害,基础19且易伤加成+6伤害,否/否,"近战,条件终结"
214,双锋追杀,通用,近战攻击,常规,2/2,对目标造成2次各8伤害，第二次若目标有诅咒则再+3伤害,每次各9伤害且第二次加成+4伤害,否/否,"近战,多段,诅咒联动"
215,军前断喝,通用,攻击-技能,常规,1/1,造成9伤害并使目标攻击-10%持续1回合,造成11伤害并使攻击-15%持续1回合,否/否,"攻击,控制"
216,斩锋破围,通用,近战攻击,常规,3/2,对目标造成28伤害，使用后移除,费用-1且造成30伤害并不移除,是/否,"近战,爆发,移除机制变化"
217,飞镞穿营,通用,远程攻击,常规,1/1,任意目标造成11伤害，若目标在后排则再+2伤害,基础13伤害且后排再+3伤害,否/否,"远程,后排压制"
218,回马突袭,通用,近战攻击,常规,1/1,若本回合打出过技能牌造成16伤害，否则造成10伤害,触发时19否则12,否/否,"近战,技能联动"
219,重弩点杀,通用,远程攻击,常规,3/3,指定目标造成24伤害并施加1层破甲,指定目标造成28伤害并施加1层破甲,是/否,"远程,点杀"
220,追风斩,通用,近战攻击,常规,0/0,仅可对目标造成8伤害并抽1弃1,造成10伤害并抽1弃1,否/否,"近战,0费,滤牌"
221,列阵坚壁,通用,技能,常规,2/2,获得16护甲，若有附属兵种存在则额外+4护甲,基础18且兵种加成+5护甲,否/否,"护甲,兵种联动"
222,后撤整线,通用,技能-技能,常规,1/1,获得9护甲并使敌方全体命中-10%持续1回合,获得11护甲并使命中-12%持续1回合,否/否,"技能,减益"
223,铁意凝神,通用,技能-净化,常规,1/1,移除1张手牌诅咒并获得8护甲,移除1张手牌诅咒并获得11护甲,否/否,"技能,净化"
224,险地固守,通用,技能-技能,常规,2/2,地形转为山地并获得14护甲,地形转为山地并获得18护甲,否/否,"技能,地形"
225,护阵回声,通用,技能,常规,2/2,获得12护甲，本回合结束时再得6护甲,回合结束再得8护甲,否/否,"护甲,延迟收益"
226,盾墙齐立,通用,技能-技能,常规,2/2,我方全体获得9护甲,我方全体获得11护甲,否/否,群体技能
227,坚忍不溃,通用,技能,常规,3/3,本回合受到伤害-30%并抽1,本回合受到伤害-40%并抽1,是/否,"减伤,过牌"
228,转守反击,通用,技能-攻击,常规,1/1,获得7护甲并记录本回合受伤值，下回合首攻附加30%伤害,附加比例提升到40%,否/否,"防反,蓄力"
229,急整军备,通用,技能,常规,1/1,抽2弃1，若弃的是诅咒则再抽1,抽2弃1且弃诅咒时再抽2,否/否,"运营,诅咒联动"
230,谋定后动,通用,技能,常规,1/1,本回合最后一张攻击牌+12伤害,本回合最后一张攻击牌+16伤害,否/否,"技能,终段强化"
231,兵贵神速,通用,技能-将令,常规,2/2,获得1点将令并本回合第一张攻击牌-1费,获得1点将令并本回合前两张攻击牌各-1费,否/否,"将令,节奏"
232,令行禁止,通用,技能-控制,常规,2/2,使目标命令失效1回合并迟缓1层,命令失效1回合并迟缓2层,否/否,"控制,封令"
233,移形换位,通用,技能-技能,常规,1/1,切换到随机地形并抽1,可从2个随机地形中选择其一并抽1,否/否,"地形,运营"
234,军议连策,通用,技能,常规,2/2,发现2张技能牌选1张，本回合费用-1,发现3张技能牌选1张，本回合费用-1,否/否,"技能,发现"
235,先声夺势,通用,技能-攻击,常规,1/1,本回合下一张攻击牌造成伤害后抽1,下一张攻击牌造成伤害后抽2,否/否,"技能,连段"
236,断后策应,通用,技能-技能,常规,2/2,兵种本回合受伤后立即获得6护甲（最多触发2次）,每次获得8护甲最多2次,否/否,"兵种联动,防护"
237,转危为机,通用,技能-诅咒转收益,常规,1/1,若手牌有诅咒，本回合第一张技能牌-1费,若手牌有诅咒，本回合前两张技能牌首张-1且抽1,否/否,"诅咒经营,降费"
238,乘胜追令,通用,技能-将令,常规,1/1,若本回合造成30以上伤害获得1点将令,阈值降为25且获得1点将令并抽1,否/否,"将令,爆发联动"
239,分兵掎角,通用,技能,常规,2/2,若有2种以上兵种，本回合兵种伤害+22%,加成提升至+30%,否/否,"兵种联动,混编"
240,营垒再建,通用,技能-技能,常规,2/2,我方附属兵种各获得10护甲并净化1层诅咒,各获得12护甲并净化1层诅咒,否/否,"兵种联动,净化"
241,突阵裂甲,通用,近战攻击,常规,2/2,对目标造成16伤害并施加1层破甲,对目标造成19伤害并施加1层破甲,否/否,"近战,破甲"
242,横刀破浪,通用,近战攻击,常规,1/1,对目标造成13伤害,对目标造成16伤害,否/否,近战
243,战锋回旋,通用,近战攻击,常规,2/2,本回合若已打出技能牌则造成22伤害，否则造成14伤害,触发时25否则16,否/否,"近战,技能连携"
244,破军冲诀,通用,近战攻击,常规,3/2,对目标造成30伤害，使用后移除,费用-1且造成32伤害并不移除,是/否,"近战,移除机制变化"
245,逆斩,通用,近战攻击,常规,0/0,仅可攻击目标造成9伤害，若你有护甲则再+3伤害,基础11伤害且护甲加成+4,否/否,"近战,0费,技能联动"
246,夺魄连刃,通用,近战攻击,常规,2/2,对目标造成2次各8伤害,升级后改为对目标造成3次各7伤害,否/否,"近战,连击次数提升"
247,破釜一击,通用,近战攻击,常规,1/1,若你生命≤40%造成24伤害，否则造成11伤害,低血时28高血时13,否/否,"近战,残血联动"
248,摧锋夺旗,通用,近战攻击,常规,3/3,对敌将造成23伤害（可直击主将）,对敌将造成27伤害（可直击主将）,是/否,"近战,越位"
249,前压重斩,通用,近战攻击,常规,2/2,若敌目标有诅咒造成20伤害，否则15伤害,有诅咒23否则17,否/否,"近战,诅咒联动"
250,裂营踏破,通用,近战攻击,常规,3/3,对目标造成21伤害并使其攻击-15%持续1回合,对目标造成25伤害并使攻击-20%持续1回合,否/否,"近战,控制"
251,飞火矢,通用,远程攻击,常规,1/1,对任意目标造成10伤害并附加1层灼烧,造成12伤害并附加1层灼烧,否/否,"远程,灼烧"
252,破云重矢,通用,远程攻击,常规,2/2,对任意目标造成18伤害,对任意目标造成21伤害,否/否,"远程,点杀"
253,流羽散射,通用,远程攻击,常规,2/2,随机对3个敌方目标各造成6伤害,随机对3个敌方目标各造成7伤害,否/否,"远程,多段"
254,神臂狙袭,通用,远程攻击,常规,3/3,指定目标造成26伤害并施加1层易伤,指定目标造成30伤害并施加1层易伤,是/否,"远程,点杀"
255,后阵清射,通用,远程攻击,常规,1/1,若目标在后排造成15伤害，否则10伤害,后排18否则12,否/否,"远程,后排克制"
256,震弦连射,通用,远程攻击,常规,2/2,对任意目标2次各7伤害，第二次若目标有诅咒则再+3伤害,2次各8伤害且第二次加成+4伤害,否/否,"远程,多段,诅咒联动"
257,破盾追矢,通用,远程攻击,常规,2/2,造成13伤害并移除目标10点护甲,造成15伤害并移除14点护甲,否/否,"远程,破甲"
258,霜羽钉杀,通用,远程攻击,常规,2/2,造成12伤害并施加1层迟缓,造成14伤害并施加2层迟缓,否/否,"远程,控制"
259,万箭齐轰,通用,远程攻击,常规,3/3,对敌方全体造成10伤害,对敌方全体造成12伤害,是/否,"远程,群攻"
260,技能点射,通用,远程攻击,常规,1/1,若本回合已打出技能牌则造成17伤害，否则11伤害,触发20否则13,否/否,"远程,技能连携"
261,坚阵护体,通用,技能,常规,1/1,获得12护甲,获得15护甲,否/否,护甲
262,铜墙铁壁,通用,技能,常规,2/2,获得20护甲,获得24护甲,是/否,"护甲,爆发防"
263,列盾并行,通用,技能-技能,常规,2/2,你与附属兵种各获得8护甲,你与附属兵种各获得10护甲,否/否,群体技能
264,逆势挡锋,通用,技能,常规,1/1,获得9护甲并使本回合首次受击伤害-50%,获得11护甲并使首次受击伤害-60%,否/否,"护甲,减伤"
265,避锋整军,通用,技能-净化,常规,1/1,移除1层迟缓并获得8护甲,移除2层迟缓并获得9护甲,否/否,"净化,技能"
266,后营修整,通用,技能-恢复,常规,2/2,获得10护甲并恢复8生命,获得12护甲并恢复10生命,否/否,"技能,续航"
267,阵前韧守,通用,技能,常规,2/2,本回合受到伤害-20%并获得9护甲,受到伤害-25%并获得11护甲,否/否,"减伤,护甲"
268,断后坚壁,通用,技能-技能,常规,2/1,获得13护甲并抽1,获得14护甲并抽1，费用-1,否/否,"技能,过牌,降费"
269,保境安阵,通用,技能-技能,常规,1/1,地形转为技能地并获得10护甲,地形转为技能地并获得13护甲,否/否,"地形,技能"
270,不屈军魂,通用,技能,常规,3/3,本回合内当生命降至1以下时改为保留1点生命1次,额外获得8护甲,是/是,"保命,终极技能"
271,调兵换将,通用,技能-技能,常规,1/1,重置1张技能牌并抽1,重置1张费用≤2的技能牌并抽1,否/否,"兵种联动,重置"
272,连策布阵,通用,技能,常规,2/2,本回合下一张技能牌与下一张攻击牌各+20%效果,两者各+28%效果,否/否,"技能连携,双强化"
273,急令催锋,通用,技能-将令,常规,1/1,获得1点将令并使本回合第一张近战牌+6伤害,获得1点将令并使本回合第一张近战牌+9伤害,否/否,"将令,近战联动"
274,临机应断,通用,技能,常规,0/0,发现2张卡选1张加入手牌，其费用-1本回合生效,发现3张卡选1张费用-1,否/否,"发现,资源"
275,借势成局,通用,技能-诅咒转收益,常规,1/1,若手牌有诅咒本回合抽2否则抽1,若手牌有诅咒抽3否则抽1,否/否,"诅咒经营,过牌"
276,钳制军议,通用,技能-控制,常规,2/2,目标攻击-15%并迟缓1层,目标攻击-20%并迟缓1层,否/否,"控制,减攻"
277,先手部署,通用,技能,常规,1/1,下回合起手抽牌+1,下回合起手抽牌+2,否/否,"运营,起手"
278,夺势号令,通用,技能-将令,常规,2/2,若本回合造成25以上伤害获得2点将令,阈值降至20且获得2点将令并抽1,是/否,"将令,爆发联动"
279,战地复盘,通用,技能,常规,1/1,回收本回合打出的一张1费牌到手牌,回收一张2费及以下牌到手牌,否/否,"回收,连段"
280,奇谋迭起,通用,技能,常规,2/2,发现3张技能牌选1张并使其本回合费用-1,发现4张技能牌选1张并费用-1,否/否,"技能,发现"
281,步盾协击,通用,技能,常规,1/1,步兵本回合获得8护甲并攻击+15%,步兵获得10护甲并攻击+20%,否/否,步兵联动
282,枪林拒敌,通用,技能-控制,常规,2/2,枪兵首次命中使目标迟缓1层,枪兵前两次命中均使目标迟缓1层,否/否,"枪兵联动,控制"
283,骑兵轮冲,通用,技能-攻击,常规,2/2,骑兵本回合第一次攻击后立刻再攻击一次（50%伤害）,追加攻击提升到65%伤害,否/否,"骑兵联动,追击"
284,弓阵压射,通用,技能-攻击,常规,2/2,弓兵伤害+20%并获得1次额外小射击（5伤害）,弓兵伤害+28%并额外小射击7伤害,否/否,"弓兵联动,增伤"
285,谋士统筹,通用,技能-技能,常规,1/1,若有谋士存在则附属兵种抽2，否则抽1,若有谋士抽3否则抽1,否/否,"谋士联动,过牌"
286,军阵再编,通用,技能,常规,2/2,重置所有技能牌中1张随机牌,可从2张随机技能牌中选择1张重置,否/否,"兵种联动,重置"
287,营门集结,通用,技能-召唤,常规,3/2,召唤1个随机基础兵种并使其获得6护甲,费用-1且召唤兵种获得10护甲,是/否,"召唤,展开"
288,兵符共振,通用,技能-将令,常规,1/1,若有2个兵种获得1点将令,若有2个兵种获得2点将令,否/否,"兵种联动,将令"
289,并肩死战,通用,技能-技能,常规,2/2,你与兵种本回合受到伤害-15%,你与兵种本回合受到伤害-20%,否/否,"兵种联动,减伤"
290,战旗高举,通用,技能,常规,2/2,本回合每有1个兵种，你与兵种伤害+6%,每兵种伤害加成+8%,否/否,"兵种联动,成长"
291,沙暴压境,通用,技能-控制,常规,2/2,地形转为沙地并使敌方全体命中-12%持续1回合,敌方全体命中-18%持续1回合,否/否,"地形,群体削弱"
292,山风列阵,通用,技能-技能,常规,1/1,地形转为山地并使我方全体获得7护甲,地形转为山地并使我方全体获得9护甲,否/否,"地形,群体技能"
293,林地埋伏,通用,技能-攻击,常规,2/2,地形转为林地并对任意目标造成15伤害,地形转为林地并造成18伤害,否/否,"地形,点杀"
294,雨战迟滞,通用,技能-控制,常规,2/2,地形转为雨地并使敌目标迟缓1层,地形转为雨地并使敌目标迟缓2层,否/否,"地形,控制"
295,火海推进,通用,技能-诅咒,常规,3/3,地形转为火地并使敌方全体获得1层灼烧,地形转为火地并使敌方全体获得2层灼烧,是/否,"地形,灼烧"
296,平川强袭,通用,技能-技能,常规,1/1,地形转为平原并使骑兵本回合伤害+25%,地形转为平原并使骑兵伤害+35%,否/否,"地形,骑兵联动"
297,高地压制,通用,技能-技能,常规,2/2,地形转为高地并使弓兵本回合首次攻击附加5伤害,首次附加8伤害,否/否,"地形,弓兵联动"
298,泽地缠斗,通用,技能-控制,常规,1/1,地形转为沼地并使敌附属兵种伤害-20%持续1回合,敌方附属兵种伤害-25%持续1回合,否/否,"地形,反兵"
299,天时借力,通用,技能-技能,常规,0/0,从平原、山地、林地、雨地中随机切换并抽1,改为从四种地形中可选其一并抽1,否/否,"地形,运营"
300,反地利突袭,通用,技能-攻击,常规,2/2,若敌方当前受地形加成，则对其主目标造成18伤害,造成22伤害,否/否,"地形,反制"
301,毒潮扩散,通用,诅咒,常规,3/3,敌方全体中毒1层，若已有中毒则再+1层,敌方全体中毒2层若已有中毒再+1层,是/否,"施咒,扩散"
302,疲兵令,通用,诅咒,常规,1/1,目标获得1层虚弱并本回合受治疗-50%,目标获得2层虚弱并受治疗-50%,否/否,"施咒,抑制"
303,缄默策,通用,诅咒-控制,常规,2/2,目标下回合无法获得将令收益,目标未来2回合无法获得将令收益,否/否,"施咒,封资源"
304,动摇军心,通用,诅咒,常规,2/2,敌方全体攻击-10%持续1回合,敌方全体攻击-15%持续1回合,否/否,"施咒,群体减攻"
305,诡言惑众,通用,诅咒-控制,常规,2/2,随机敌方目标混乱1回合并附加1层虚弱,随机敌方目标混乱1回合并附加2层虚弱,否/否,"施咒,控制"
306,腐甲毒刺,通用,诅咒,常规,1/1,造成7伤害并施加1层破甲与1层中毒,造成9伤害并施加1层破甲与2层中毒,否/否,"施咒,复合"
307,疲敌散谋,通用,诅咒-技能,常规,2/2,目标攻击-20%，若其已有诅咒则抽1,目标攻击-25%且条件触发时抽1,否/否,"施咒,联动"
308,无援困令,通用,诅咒-控制,常规,2/2,目标本回合无法获得护甲,目标本回合与下回合首次均无法获得护甲,是/否,"施咒,封防"
309,祟咒共鸣,通用,诅咒,常规,3/3,目标每有1种诅咒造成额外4伤害（基础10，上限26）,每种诅咒额外5伤害（基础12，上限32）,否/否,"施咒,终结"
310,覆军谣,通用,诅咒,常规,1/1,目标获得1层迟缓并抽1，若其已有诅咒则再抽1,目标获得2层迟缓并同条件抽牌,否/否,"施咒,过牌"
311,祟影反杀,通用,诅咒转收益-攻击,常规,1/1,移除1张手牌诅咒并对任意目标造成15伤害,移除1张手牌诅咒并造成19伤害,否/否,"诅咒经营,转化"
312,劫后余谋,通用,诅咒转收益-技能,常规,2/2,本回合每净化1张诅咒抽1（上限2）,上限提升至3,否/否,"诅咒经营,过牌引擎"
313,险局筹算,通用,诅咒转收益,常规,1/1,若牌库中诅咒≥6，本回合技能牌-1费,阈值降至≥5并额外抽1,否/否,"诅咒经营,降费"
314,隐忍强袭,通用,诅咒转收益-攻击,常规,2/2,若本回合获得过诅咒则对目标造成23伤害，否则造成14伤害,触发26否则16,否/否,"诅咒经营,爆发"
315,吞咒护体,通用,诅咒转收益-技能,常规,2/2,移除1张诅咒获得16护甲并回复6生命,移除1张诅咒获得20护甲并回复8生命,否/否,"诅咒经营,技能"
316,恶名换令,通用,诅咒转收益-将令,常规,0/0,向牌库加入1张诅咒并获得1点将令,向牌库加入1张诅咒并获得2点将令,否/否,"诅咒经营,将令"
317,祸转福生,通用,诅咒转收益-恢复,常规,1/1,本回合每获得1层诅咒恢复3生命（上限12）,每层恢复4生命（上限16）,否/否,"诅咒经营,续航"
318,险牌博弈,通用,诅咒转收益-技能,常规,1/1,抽2并加入1张临时诅咒到弃牌堆,抽3并加入1张临时诅咒到弃牌堆,否/否,"诅咒经营,过牌"
319,晦策终结,通用,诅咒转收益-攻击,常规,3/2,按手牌诅咒数量对目标造成伤害，每张+5（基础8）,每张+6（基础10）,是/否,"诅咒经营,终结"
320,危局反转,通用,诅咒转收益-技能,常规,3/3,若牌库中诅咒≥8，我方全体本回合减伤15%且伤害+15%,阈值降为≥7且减伤20%伤害+20%,是/否,"诅咒经营,全体增益"
321,军令净化,通用,净化-将令,常规,1/1,净化1张诅咒并获得1点将令,净化1张诅咒并获得1点将令且抽1,否/否,"净化,将令"
322,焚障清毒,通用,净化,常规,2/2,净化1张诅咒并移除2层中毒,净化1张诅咒并移除3层中毒,否/否,"净化,解毒"
323,战地疗养,通用,净化-恢复,常规,2/2,净化1张诅咒并恢复15生命,净化1张诅咒并恢复19生命,否/否,"净化,续航"
324,肃军明志,通用,净化-技能,常规,1/1,净化1张诅咒并使本回合下一张攻击牌+8伤害,净化1张诅咒并使下一张攻击牌+11伤害,否/否,"净化,增伤"
325,安营去晦,通用,净化-技能,常规,2/2,净化1张诅咒并使附属兵种各获得8护甲,净化1张诅咒并各获得10护甲,否/否,"净化,兵种防护"
326,涤阵洗锋,通用,净化-技能,常规,1/1,净化1张诅咒并将地形转为平原,净化1张诅咒并转平原且抽1,否/否,"净化,地形"
327,止战息戈,通用,净化-控制,常规,1/1,移除2层混乱、迟缓、虚弱中的任意组合,移除3层诅咒控制类层数,否/否,"净化,解控"
328,清算旧疴,通用,净化-攻击,常规,2/2,本局每净化1张诅咒，对目标造成额外4伤害（基础8）,每净化额外5伤害（基础10）,否/否,"净化,结算"
329,重振旗鼓,通用,净化-技能,常规,2/2,净化2张诅咒并抽1,净化2张诅咒并抽2,否/否,"净化,过牌"
330,无瑕军魂,通用,净化-全体增益,常规,3/3,净化1张诅咒并使我方全体本回合伤害+18%,净化1张诅咒并使我方全体伤害+24%,是/否,"净化,全体增益"
