编号,名称,级别,历史职业背景,主要州郡,HP,护甲,兵种层,行动序列,速度,地形偏好
E001,黄巾力士,普通,黄巾起义精锐步兵，以黄巾布包头为标志,冀州/颍川,22,0,步兵×2,A01→A04→A01→A17,8,平原
E002,黄巾道士,普通,太平道信徒，手持符咒施以法术,冀州/青州,18,0,,A02→A16→A05→A02,7,平原
E003,郡县弓手,普通,地方郡兵中的弓箭手，装备简陋,各州通用,20,2,弓兵×1,A02→A03→A02→A12,9,通用
E004,山贼头目,普通,绿林山贼中的小头目，善于偷袭抢劫,荆州/益州,25,0,,A13→A01→A13→A09,10,山地/森林
E005,流民武士,普通,战乱中流离失所被迫拿起武器的流民,兖州/豫州,18,0,,A01→A11→A01→A01,6,平原
E006,乡勇队长,普通,地方自卫武装的小领头，有一定防御意识,各州通用,28,4,步兵×1,A03→A01→A15→A17,7,通用
E007,羌族斥候,普通,凉州羌人轻骑侦察兵，机动灵活,凉州/并州,20,0,骑兵×1,A02→A07→A02→A18,12,平原/沙漠
E008,屯田兵,普通,曹魏实行屯田制的普通军事农民,冀州/兖州,24,3,步兵×1,A01→A03→A01→A10,6,平原
E009,水贼头目,普通,江面水匪的小头目，熟悉水战,扬州/荆州,22,0,,A13→A02→A09→A13,8,水域
E010,私盐贩子,普通,混迹市井私贩食盐的武装商人,徐州/扬州,20,0,,A13→A07→A14→A01,9,通用
E011,街市游侠,普通,无业游荡的江湖人，以刀剑谋生,各州通用,23,0,,A09→A18→A01→A04,11,通用
E012,北方胡兵,普通,幽州以北的胡族雇佣兵，蛮力惊人,幽州/并州,30,0,步兵×2,A01→A04→A17→A01,7,平原/雪地
E013,守城甲士,普通,驻守关隘城池的重装步兵,关隘地形,32,8,步兵×2,A03→A15→A01→A03,5,关隘
E014,骑兵斥候,普通,普通骑马侦察兵，快速但攻击力有限,平原地形,20,0,骑兵×1,A02→A07→A18→A02,13,平原
E015,弩手伍长,普通,军中弩兵的班长，远程精准打击,各州通用,22,2,弓兵×1,A02→A02→A12→A03,8,通用
E016,铁衣步卒,普通,身着铁甲的重装步兵，防御出色,冀州/司州,28,6,步兵×2,A03→A01→A15→A17,5,通用
E017,辎重兵,普通,后勤补给兵，误入战场后惊慌呼救,各州通用,15,0,,A11→A10→A14→A01,5,通用
E018,山越猎手,普通,江东山越族的猎人，善用毒箭,扬州/交州,20,0,弓兵×1,A05→A02→A05→A12,10,山地/森林
E019,铸剑工匠,普通,被迫卷入战乱的铸剑工匠，持自制武器应战,司州/豫州,18,2,,A17→A03→A01→A18,7,通用
E020,道观护法,普通,道观门前的武僧护法，手持铁棍,益州/荆州,26,3,,A15→A01→A16→A03,7,山地/森林
E021,郡都尉张坤,精英,地方军事长官，统领百人部队,各州郡城,45,8,步兵×3,A01→B01→A03→B14,8,通用
E022,军议掾陈谋,精英,军中参谋出身的中层官员，善施复合状态,冀州/兖州,38,5,谋士×2,B05→A14→B13→B12,7,通用
E023,骑曲长李猛,精英,骑兵曲的指挥官，擅长高速冲锋,凉州/并州,42,6,骑兵×3,B01→A04→B14→A18,13,平原
E024,折冲都尉,精英,专门克制骑兵的步兵精锐指挥官,山地地形,48,10,步兵×3,A03→B04→B01→A15,7,山地
E025,黄巾渠帅,精英,黄巾军中的高层渠帅，可召唤黄巾援兵,冀州/青州/豫州,50,5,步兵×2,B01→A04→B16→B01,8,平原
E026,山越首领,精英,江东山越部族头领，擅用多层毒攻,扬州山越,44,4,步兵×2,B05→A05→B17→B05,9,山地
E027,锦帆贼卒,精英,甘宁早年水贼麾下的精锐，凶悍善战,扬州/荆州水域,46,5,骑兵×2,B01→A13→B15→B18,11,水域
E028,西凉猛卒,精英,董卓麾下西凉精锐，正面强攻,凉州/司州,52,8,步兵×3,B01→A17→B14→B01,9,平原/沙漠
E029,毒士之徒,精英,贾诩式阴谋家的门徒，专司诅咒污染,各州通用,40,3,谋士×2,B12→A14→B05→B12,8,通用
E030,白马副将,精英,公孙瓒白马义从的副手，高速远程,幽州平原,44,6,骑兵×3,B02→A04→B14→B01,14,平原
E031,越境刺客,精英,各方势力的高级刺客，专攻软肋,各州通用,38,0,,B04→B18→A13→B15,14,通用
E032,水镜门生,精英,水镜先生门下弟子，多层Debuff专家,荆州,40,4,谋士×2,B13→B05→B12→B13,7,森林
E033,虎豹骑什长,精英,曹魏精锐骑兵虎豹骑的小队长,冀州/兖州,48,8,骑兵×3,B01→B14→A09→B01,13,平原
E034,陷阵营卒,精英,高顺麾下陷阵营的精锐步兵,司州/兖州,50,10,步兵×3,B04→B01→A03→B18,8,通用
E035,无当老卒,精英,蜀国无当飞军的老兵，山地专精,益州山地,46,7,步兵×2,A03→B01→B17→A17,9,山地
E036,丹阳精兵,精英,江东最精锐的步兵，群体打击,扬州,50,8,步兵×3,B11→A03→B01→B14,8,通用
E037,病秧军师,精英,体弱多病却智计过人的幕僚,荆州/益州,35,2,谋士×3,B08→B12→B13→B05,6,通用
E038,弩机操手,精英,操控大型弩机的专业工匠兵,关隘/城池,42,6,弓兵×3,B02→A03→B11→B02,6,关隘
E039,羌族头人,精英,凉州羌族部落头人，控制羌族勇士,凉州/并州,48,5,骑兵×3,B01→B16→A04→B14,10,平原/沙漠
E040,瘟疫散布者,精英,流亡各地散播疾病的危险人物,荆州/扬州,38,0,,B10→A05→B10→B17,7,通用
E041,关隘镇守,强力,驻守重要关隘的中阶将领，防守极强,关隘地形,85,20,步兵×4+弓兵×2,C10→B01→B03→C01,7,关隘
E042,军师祭酒,强力,高级军事参谋，可复制战场状态,各州大城,70,10,谋士×4,B08→C11→B12→C14,8,通用
E043,四世遗孤,强力,袁氏名门之后，凭家族威名召唤精锐,冀州,78,15,步兵×3+谋士×2,B03→C07→B14→C09,8,平原
E044,复仇将领,强力,父兄被玩家武将所败，以复仇为己任,各州通用,80,12,步兵×3,C01→B14→C12→B01,10,通用
E045,猛虎将军,强力,有勇无谋的猛将，每回合爆发升级,冀州/凉州,90,8,步兵×5,B01→B14→C01→C12,11,平原
E046,算无遗策者,强力,改变地形天气的顶级谋士,各州通用,72,8,谋士×4,C05→B12→C06→B08,7,通用
E047,征虏将军,强力,获高阶军职的将领，可夺玩家卡牌,司州/冀州,80,15,步兵×4+骑兵×2,B01→C15→B14→C01,9,通用
E048,贼寇大将,强力,绿林势力的大头目，金钱掠夺王,荆州/益州山地,75,10,步兵×3,C04→B01→B16→C07,9,山地/森林
E049,水军都督,强力,江东水军最高指挥官，水域无敌,扬州/荆州水域,88,14,步兵×2+弓兵×3,C05→B02→C10→C01,8,水域
E050,草原单于,强力,草原部族大首领，召唤极端天气,幽州/并州,82,10,骑兵×5,C06→B01→C07→C09,12,平原/雪地
E051,阴鸷毒士,强力,最高阶的阴谋家，全面诅咒污染,各州通用,68,6,谋士×4,C11→B12→C14→B08,8,通用
E052,斗将狂人,强力,只追求一对一单挑的武痴，单体极强,各州通用,95,12,步兵×4,C01→B04→C16→C12,12,通用
E053,傀儡将领,强力,被阴谋家以毒药控制的高阶武将,各州通用,80,15,步兵×4+骑兵×2,C01→C01→B14→C17,10,通用
E054,铁壁守将,强力,防御极值武将，以护盾碾压玩家,关隘/城池,78,25,盾兵×4+步兵×2,B03→C13→C10→B03,5,关隘
E055,末路枭雄,强力,历史失败者的最后一战，爆发型狂人,各州通用,100,5,步兵×3,C12→C01→C16→C18,11,通用
