序号,武将,阵营,战役,所属州,地形,默认天气,发生时间,历史背景,史实战役,对阵知名将领
1,曹操,魏,陈留起兵,兖州,平原,晴,189年,曹操在陈留散家财聚兵，讨伐董卓之始,讨董联军,董卓/吕布/李儒
2,曹操,魏,兖州驱吕,兖州,平原,晴,194年,曹操从吕布手中夺回兖州，濮阳大战,濮阳之战,吕布/陈宫/高顺
3,曹操,魏,官渡争锋,冀州,平原,风,200年,曹操以弱胜强，火烧乌巢，击败袁绍,官渡之战,袁绍/沮授/审配/许攸
4,曹操,魏,北方平定,幽州,雪地,晴,207年,曹操远征乌桓，斩蹋顿，统一北方,白狼山之战,蹋顿/楼班/乌延
5,曹操,魏,赤壁转折,荆州,水域,风,208年,赤壁之战，曹操南征折戟，转守为攻,赤壁之战,周瑜/黄盖/诸葛亮/刘备
6,曹操,魏,汉中争衡,益州,山地,晴,219年,曹操与刘备争夺汉中，最终撤军,汉中之战,刘备/法正/黄忠/赵云
7,夏侯惇,魏,濮阳鏖战,兖州,平原,晴,194年,吕布攻兖州，夏侯惇于濮阳死守,濮阳之战,吕布/高顺/张辽/陈宫
8,夏侯惇,魏,小沛之战,徐州,平原,晴,198年,吕布遣高顺、张辽攻刘备于小沛，曹操命夏侯惇驰援,小沛之战,吕布/高顺/张辽/陈宫
8,夏侯惇,魏,下邳困关羽,徐州,平原,晴,199年,曹操攻徐州，关羽守下邳，夏侯惇为先锋诱敌出城,徐州之战,关羽/张飞/刘备
9,夏侯惇,魏,官渡侧翼,冀州,平原,风,200年,官渡之战期间夏侯惇守护左翼侧线,官渡之战·侧翼防守,袁绍/颜良/文丑/沮授
10,夏侯惇,魏,汉中对峙,益州,山地,雾,217年,曹刘汉中相持，夏侯惇驻守汉中前线,汉中相持,刘备/法正/黄忠
12,张辽,魏,并州历练,并州,山地,晴,189年,张辽早年跟随丁原、吕布，并州从军,并州边境战事,丁原/南匈奴单于/须卜骨都侯
13,张辽,魏,下邳突击,徐州,沼泽,雨,198年,曹操攻下邳，张辽劝降关羽立功,下邳之战,吕布/高顺/陈宫
14,张辽,魏,合肥防线,扬州,水域,晴,213年,张辽镇守合肥，多次抵御孙权进攻,合肥之战,孙权/凌统/蒋钦/陈武
15,张辽,魏,逍遥津扬名,扬州,水域,雾,215年,张辽率800骑奇袭孙权，威震逍遥津,逍遥津之战,孙权/凌统/甘宁/蒋钦
16,张辽,魏,广陵追击,扬州,水域,晴,222年,张辽追击撤退的孙权军，大破吴军于广陵,广陵追击战,孙权/诸葛瑾/丁奉/贺齐
17,司马懿,魏,新城夺权,荆州,山地,晴,228年,司马懿突袭孟达于新城，八日破城，展现决断,新城之战,孟达/申仪/李辅
18,司马懿,魏,街亭截击,凉州,山地,晴,228年,马谡失街亭，司马懿乘势截断蜀军退路,街亭之战,马谡/王平/高详
19,司马懿,魏,辽东征伐,幽州,雪地,晴,238年,远征公孙渊，平定辽东，大获全胜,辽东平公孙渊之战,公孙渊/卑衍/杨祚
20,司马懿,魏,高平陵变,司州,关隘,雾,249年,发动高平陵政变，掌控曹魏政权,高平陵之变,曹爽/何晏/丁谧/邓飏
21,司马懿,魏,淮南平乱,扬州,沼泽,雨,251年,平定毌丘俭、王凌淮南叛乱,王凌之乱,王凌/令狐愚/杨弘
22,典韦,魏,清剿黄巾,兖州,平原,晴,194年,随曹操清剿兖州黄巾残部，先登陷阵，所向披靡,清剿兖州黄巾残部,吕布/高顺/陈宫
22,典韦,魏,定陶破吕,兖州,平原,晴,195年,曹操与吕布决战定陶，典韦冲阵先锋立功,定陶之战,张绣/贾诩/刘表
23,典韦,魏,舞阴截援,豫州,平原,风,196年,典韦随曹操南征，强攻舞阴截断刘表援军,舞阴围攻战,张绣/贾诩/胡车儿
24,典韦,魏,宛城死战,荆州,森林,晴,197年,宛城张绣叛变，典韦死守辕门护主,宛城之战,张绣/贾诩/胡车儿
27,贾诩,魏,西凉诛叛,凉州,沙漠,风,189年,贾诩助西凉旧部平定内乱，权谋初显,西凉内部平叛,北宫伯玉/李文侯/边章/韩遂
28,贾诩,魏,长安权谋,司州,关隘,晴,192年,贾诩献策李傕、郭汜，乱长安局势,长安之乱·李傕郭汜,王允/吕布/宋宪
29,贾诩,魏,平叛关中,司州,关隘,风,195年,贾诩献策镇压关中诸侯叛乱,关中诸侯争战,李傕/郭汜/樊稠/张济
30,贾诩,魏,官渡奇谋,冀州,平原,晴,200年,贾诩在官渡献奇谋，助曹操火烧乌巢,官渡之战,袁绍/沮授/审配/许攸
31,贾诩,魏,渭水诈败,司州,关隘,晴,211年,贾诩献离间计，曹操于渭水诈败破马超,渭水之战,马超/韩遂/成宜/马玩
32,刘备,蜀,涿郡起义,幽州,平原,晴,184年,刘备桃园结义，参与讨伐黄巾,幽州讨黄巾,张角/张宝/张梁/波才
33,刘备,蜀,徐州漂泊,徐州,沼泽,雨,194年,刘备辗转徐州，被吕布、曹操所迫,徐州争夺战,吕布/曹操/陈宫
34,刘备,蜀,博望坡伏,荆州,森林,晴,208年,诸葛亮初出茅庐，博望坡火烧夏侯惇先锋,博望坡之战,夏侯惇/于禁/李典
35,刘备,蜀,入蜀定基,益州,山地,雾,214年,刘备攻取益州，建立蜀汉政权基础,成都之战,刘璋/张任/刘璝/冷苞
36,刘备,蜀,汉中争衡,益州,山地,晴,219年,刘备夺取汉中，进位汉中王,汉中之战,曹操/夏侯渊/张郃/曹休
37,刘备,蜀,夷陵终局,荆州,森林,风,222年,刘备伐吴为关羽报仇，陆逊火烧连营,夷陵之战,陆逊/朱然/韩当/潘璋
32,关羽,蜀,涿郡起义,幽州,平原,晴,184年,随刘备桃园结义，参与讨伐黄巾,幽州讨黄巾,张角/张宝/张梁/波才
38,关羽,蜀,斩将成名,司州,关隘,晴,190年,关羽温酒斩华雄，虎牢关前扬名,虎牢关之战,华雄/吕布/李肃
39,关羽,蜀,白马斩颜,冀州,平原,晴,200年,关羽阵斩颜良于白马，一战扬名河北,白马之战,颜良/文丑/袁绍
40,关羽,蜀,千里走单骑,司州,平原,晴,200年,关羽护送二嫂穿越曹军五关六将,关羽过五关,孔秀/韩福/卞喜/王植/秦琪
41,关羽,蜀,威震华夏,荆州,水域,晴,219年,关羽北伐攻樊城，威震华夏进入高峰,樊城之战,曹仁/庞德/于禁/满宠
43,关羽,蜀,麦城绝境,荆州,森林,雾,219年,吕蒙白衣渡江，关羽败走麦城,麦城之围,吕蒙/陆逊/潘璋/朱然
44,张飞,蜀,桃园从征,幽州,平原,晴,184年,张飞桃园结义，随刘备起兵,幽州讨黄巾,张角/张宝/张梁/波才
45,张飞,蜀,长坂断后,荆州,平原,风,208年,张飞喝退曹军于长坂桥，护主撤退,长坂坡之战,曹纯/夏侯恩/张辽/曹操
46,张飞,蜀,巴西镇守,益州,山地,晴,215年,张飞镇守巴西，抵御张郃进攻,宕渠之战,张郃/蒙头/荡石
47,张飞,蜀,汉中突进,益州,山地,雾,218年,张飞在宕渠之战击败张郃,宕渠之战,张郃/蒙头/荡石
48,张飞,蜀,固守阆中,益州,山地,晴,220年,张飞坐镇阆中，整军备战抵御魏军南下压力,蜀汉北境防御,曹真/张郃/曹洪
49,诸葛亮,蜀,博望坡火,荆州,森林,晴,208年,诸葛亮首战博望坡，火烧夏侯惇军,博望坡之战,夏侯惇/于禁/李典
50,诸葛亮,蜀,赤壁联吴,荆州,水域,风,208年,诸葛亮舌战群儒，促成孙刘联盟,赤壁之战,曹操/程昱/荀攸/曹仁
51,诸葛亮,蜀,南中平定,益州,森林,雨,225年,诸葛亮七擒孟获，平定南蛮,南中平定战,孟获/祝融/雍闿/高定
52,诸葛亮,蜀,北伐陇右,凉州,沙漠,晴,228年,诸葛亮第一次北伐，攻取陇右三郡,第一次北伐,张郃/郭淮/王双/曹真
53,诸葛亮,蜀,祁山争锋,凉州,山地,晴,231年,诸葛亮多次出祁山，与司马懿正面对阵,第四次北伐·祁山之战,司马懿/张郃/郭淮/费曜
54,诸葛亮,蜀,五丈原终章,司州,平原,风,234年,诸葛亮最后一次北伐，病逝五丈原,第五次北伐·五丈原之战,司马懿/司马师/郭淮/张虎
55,赵云,蜀,界桥初阵,冀州,平原,晴,191年,赵云早年参与界桥之战，初次展露锋芒,界桥之战,文丑/麴义/袁绍
56,赵云,蜀,长坂救主,荆州,平原,风,208年,赵云单骑救阿斗，七进七出曹军,长坂坡之战,曹纯/夏侯恩/张辽/曹操
57,赵云,蜀,汉水奇袭,益州,山地,雾,219年,赵云汉水奇袭曹军，刘备赞"子龙一身是胆",汉水之战,曹操/徐晃/张郃/夏侯渊
58,赵云,蜀,箕谷疑兵,凉州,沙漠,晴,228年,赵云箕谷断后，整兵而退不失一人,第一次北伐,曹真/郭淮/王双
59,赵云,蜀,凤鸣山断,益州,山地,雾,229年,赵云最后一战，老当益壮独断追兵,北伐追击战,郭淮/费曜/曹真
60,马超,蜀,渭桥冲阵,司州,关隘,晴,211年,马超率西凉铁骑强渡渭水，差点活捉曹操,渭水之战,曹操/曹仁/钟繇/曹洪
61,马超,蜀,潼关激战,司州,关隘,晴,211年,马超率西凉军大战曹操于潼关,潼关之战,曹操/曹仁/钟繇/曹洪
62,马超,蜀,冀城争夺,凉州,沙漠,晴,212年,马超被曹操所破，转战陇右,陇右争夺战,夏侯渊/杨秋/韦康/赵昂
63,马超,蜀,归附蜀汉,益州,山地,晴,215年,马超归附刘备，助攻益州成都,马超归蜀,刘璋/张鲁/吴兰
64,马超,蜀,汉中助战,益州,山地,晴,219年,马超协助刘备汉中之战，威慑曹军,汉中之战,曹操/夏侯渊/张郃/曹洪
65,孙权,吴,山越平叛,扬州,山地,雨,203年,孙权继位后征讨山越，稳固江东根基,征讨山越,费栈/彭绮/山越渠帅
66,孙权,吴,柴桑防线,扬州,水域,风,208年,赤壁前孙权在柴桑整军备战，击退曹操先锋,赤壁之战,曹操/蔡瑁/张允/张辽
67,孙权,吴,赤壁联防,荆州,水域,风,208年,孙权联合刘备，赤壁之战大胜曹操,赤壁之战,曹操/蔡瑁/张允/徐晃
68,孙权,吴,合肥争衡,扬州,水域,雨,213年,孙权多次进攻合肥，与张辽对峙,合肥之战,张辽/李典/乐进/刘馥
69,孙权,吴,江淮拉锯,扬州,沼泽,雨,234年,孙权晚年与曹魏多次拉锯于江淮,江淮拉锯战,满宠/王凌/司马懿
70,周瑜,吴,平定江东,扬州,水域,晴,199年,周瑜助孙策平定江东，建立吴国基业,平定江东诸郡,严白虎/刘繇/王朗/华歆
71,周瑜,吴,赤壁火攻,荆州,水域,风,208年,周瑜指挥赤壁之战，火烧曹军战船,赤壁之战,曹操/蔡瑁/张允/徐晃/张辽
72,周瑜,吴,南郡争夺,荆州,森林,雨,209年,周瑜攻打南郡，与曹仁激战,南郡之战,曹仁/牛金/徐晃/满宠
73,周瑜,吴,荆襄对峙,荆州,水域,晴,210年,周瑜与刘备争荆州，两家博弈,荆州归属争议期,刘备/诸葛亮/关羽/张飞
74,周瑜,吴,江陵围困,荆州,水域,雨,209年,周瑜围攻曹仁据守的江陵，历时一年拿下,江陵之战,曹仁/牛金/曹洪/徐晃
75,吕蒙,吴,濡须对峙,扬州,水域,晴,213年,吕蒙参与濡须之战，阻挡曹操南下,濡须之战,曹操/张辽/曹仁/臧霸
76,吕蒙,吴,皖城奇袭,扬州,水域,晴,215年,吕蒙突袭曹操皖城，生擒朱光,皖城之战,朱光/张乔/李典
77,吕蒙,吴,白衣奇袭,荆州,水域,雾,219年,吕蒙白衣渡江，袭取荆州三郡,白衣渡江,关羽/糜芳/傅士仁/赵累
78,吕蒙,吴,公安逼降,荆州,水域,晴,219年,吕蒙心理战逼降糜芳士仁，不战取公安,公安·南郡归吴,糜芳/傅士仁/郝普
79,吕蒙,吴,荆州定局,荆州,森林,晴,219年,吕蒙彻底控制荆州，擒杀关羽,麦城之围·荆州落吴,关羽/赵累/廖化
80,甘宁,吴,夏口突袭,荆州,水域,晴,208年,甘宁率精兵突袭曹操夏口水寨,赤壁之战·夏口前哨战,黄祖/张硕/苏飞
81,甘宁,吴,濡须奔袭,扬州,水域,雾,213年,甘宁百骑劫曹营，大显神威,濡须之战·百骑劫营,曹操/张辽/曹仁/臧霸
82,甘宁,吴,合肥夜战,扬州,水域,雾,215年,甘宁参与合肥之战，率兵奔袭夜战,合肥之战,张辽/李典/乐进
83,甘宁,吴,江淮劫营,扬州,沼泽,晴,217年,甘宁在江淮一带多次突袭曹军营寨,江淮游击战,曹操/张辽/臧霸/徐晃
84,甘宁,吴,前锋终战,荆州,水域,晴,222年,甘宁晚年参与夷陵之战，最终战死,夷陵之战,刘备/张飞/黄权/冯习
85,陆逊,吴,鄱阳讨贼,扬州,水域,晴,205年,陆逊初仕讨平鄱阳剡地山贼，首战立威,鄱阳平山越,彭虎/陈仆/祖郎
86,陆逊,吴,夷陵大捷,荆州,森林,风,222年,陆逊火烧刘备连营，大败蜀军,夷陵之战,刘备/张南/冯习/黄权
87,陆逊,吴,荆楚固防,荆州,森林,晴,223年,夷陵之战后陆逊坐镇荆楚，防御魏蜀,荆楚防御部署,曹仁/夏侯尚/诸葛亮/赵云
88,陆逊,吴,石亭定势,扬州,沼泽,雨,228年,石亭之战陆逊大败曹休，确立吴国优势,石亭之战,曹休/张普/贾逵/满宠
89,陆逊,吴,武昌督战,扬州,水域,晴,232年,陆逊驻武昌总督荆扬军事，督战东线,东线督战,王凌/满宠/司马懿
90,吕布,群雄,并州崛起,并州,山地,晴,189年,吕布在并州跟随丁原，以武力崭露头角,中平年间并州边境战事,须卜骨都侯/丘力居/南匈奴单于
91,吕布,群雄,虎牢关战,司州,关隘,晴,190年,吕布独战诸侯联军，三英战吕布,虎牢关之战,孙坚/曹操/袁绍/袁术
92,吕布,群雄,徐州转战,徐州,沼泽,雨,194年,吕布夺取徐州，辗转于曹操、刘备之间,徐州争夺战,刘备/曹操/陈登
93,吕布,群雄,下邳困局,徐州,沼泽,雨,198年,吕布被曹操围困于下邳，水淹下邳,下邳之战,曹操/夏侯惇/曹仁/荀攸
94,吕布,群雄,末路孤城,徐州,沼泽,晴,198年,吕布白门楼被擒，张辽劝降，最终被杀,下邳之战·白门楼,曹操/夏侯惇/曹仁/刘备
95,貂蝉,群雄,虎牢援战,司州,关隘,晴,190年,貂蝉随董卓在虎牢关大营，亲历联军讨伐压境,虎牢关之战,孙坚/袁绍/曹操/袁术
96,貂蝉,群雄,凤仪亭乱,司州,关隘,晴,192年,貂蝉于凤仪亭挑起吕布董卓决裂，乱局一触即发,吕布反董·长安事变前夜,董卓/李儒/李傕
97,貂蝉,群雄,长安夺门,司州,关隘,风,192年,吕布刺董后长安门禁混乱，貂蝉协助吕布控制城门,长安政变·吕布刺董,吕布/王允/宋宪/魏续
98,貂蝉,群雄,李郭追杀,司州,关隘,雨,192年,李傕郭汜反攻长安，貂蝉随王允困守宫城,李傕郭汜攻长安之战,李傕/郭汜/樊稠/张济
99,貂蝉,群雄,白波突围,司州,平原,风,195年,貂蝉随汉廷东迁，白波军护驾途中遭各方袭击,献帝东迁护送战,李傕/郭汜/杨奉/张济
100,袁绍,群雄,界桥激战,冀州,平原,晴,191年,袁绍大破公孙瓒精锐白马义从于界桥,界桥之战,公孙瓒/严纲/田楷/刘备
101,袁绍,群雄,公孙征伐,幽州,雪地,晴,199年,袁绍击败公孙瓒，统一河北四州,易京之战,公孙瓒/田楷/关靖/田豫
102,袁绍,群雄,官渡崩局,冀州,平原,风,200年,官渡之战袁绍大败，乌巢被烧,官渡之战,曹操/荀攸/郭嘉/许褚
103,袁绍,群雄,仓亭追击,冀州,平原,雨,201年,曹操仓亭再败袁军，袁绍彻底崩溃,仓亭之战,曹操/荀攸/曹仁/于禁
104,袁绍,群雄,壶关攻坚,并州,关隘,晴,201年,袁绍遣子袁尚固守壶关抵御曹操，激战数月,壶关之战,曹操/曹洪/徐晃/于禁
105,董卓,群雄,凉州剿羌,凉州,沙漠,风,184年,董卓早年随皇甫嵩平定羌乱，积累军功起家,凉州羌乱平叛,北宫伯玉/李文侯/边章/韩遂
106,董卓,群雄,入洛掌权,司州,关隘,晴,189年,董卓率西凉军入洛阳，废少帝立献帝,董卓入洛阳,丁原/何苗/袁绍/袁术
107,董卓,群雄,诸侯讨伐,司州,关隘,晴,190年,十八路诸侯讨董，吕布守虎牢关,虎牢关之战,孙坚/曹操/袁绍/袁术
108,董卓,群雄,迁都长安,司州,关隘,风,190年,董卓在讨董压力下迁都长安，烧毁洛阳,迁都长安行动,孙坚/孙策/袁绍/曹操
109,董卓,群雄,北宫伏兵,司州,关隘,晴,189年,董卓入洛后于北宫诛宦官集团，武力确立威权,废立之变·北宫大乱,张让/段珪/袁绍/何进旧部
110,张角,群雄,冀州起兵,冀州,平原,风,184年,张角率黄巾军起义，席卷天下,黄巾起义魏郡首战,皇甫嵩/卢植/朱儁/曹操
111,张角,群雄,黄巾连胜,豫州,平原,晴,184年,黄巾军初期连克郡县，势如破竹,豫州攻势,皇甫嵩/卢植/朱儁/孙坚
112,张角,群雄,广宗保卫战,冀州,平原,雨,184年,黄巾军据守广宗，与官军激烈鏖战,广宗外围阻击战,皇甫嵩/卢植/董卓/宗员
113,张角,群雄,颍川破围,豫州,平原,晴,184年,皇甫嵩颍川大破黄巾军，张角被迫收缩,颍川之战,皇甫嵩/朱儁/孙坚/曹操
114,张角,群雄,广宗病逝,冀州,平原,晴,184年,皇甫嵩强攻广宗，张角病死军溃,广宗之战·终局,皇甫嵩/朱儁/董卓/曹操
